"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"title","1.0","title-{goodreads_2949+goodreads_52065+recommendation_119061+recommendation_138764+recommendation_194097+recommendation_1951+recommendation_3769}","goodreads_2949+goodreads_52065+recommendation_119061+recommendation_138764+recommendation_194097+recommendation_1951+recommendation_3769","{Dragonsong|Dragonsong|Dragonsong|Dragonsong|Dragonsong|Dragonsong|Dragonsong}","Dragonsong",,
"publisher","0.4444444444444444","publisher-{recommendation_15445+recommendation_1652+recommendation_22023+recommendation_230+recommendation_246659+recommendation_25377+recommendation_28549+recommendation_59784+recommendation_82033}","recommendation_15445+recommendation_1652+recommendation_22023+recommendation_230+recommendation_246659+recommendation_25377+recommendation_28549+recommendation_59784+recommendation_82033","{Signet Book|Pocket|Signet Book|Signet Book|Simon &amp; Schuster Audio|Signet Book|New Amer Library|Doubleday Books|Pocket}","Simon &amp; Schuster Audio",,
"authors","1.0","authors-{goodreads_21918+goodreads_22280+goodreads_31244+goodreads_32305+recommendation_100681+recommendation_2105+recommendation_8227}","goodreads_21918+goodreads_22280+goodreads_31244+goodreads_32305+recommendation_100681+recommendation_2105+recommendation_8227","{[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]}","[de.unimannheim.wdi.model.Author@54bea4b1]",,
"title","1.0","title-{goodreads_11634+goodreads_277+goodreads_31428+recommendation_198737+recommendation_62635}","goodreads_11634+goodreads_277+goodreads_31428+recommendation_198737+recommendation_62635","{Misery|Misery|Misery|Misery|Misery}","Misery",,
"title","1.0","title-{goodreads_31784+recommendation_60240}","goodreads_31784+recommendation_60240","{More Jesus, Less Religion: Moving from Rules to Relationship|More Jesus, Less Religion: Moving from Rules to Relationship}","More Jesus, Less Religion: Moving from Rules to Relationship",,
"title","1.0","title-{goodreads_15108+recommendation_143829+recommendation_152831+recommendation_203169}","goodreads_15108+recommendation_143829+recommendation_152831+recommendation_203169","{Smith of Wootton Major|Smith of Wootton Major|Smith of Wootton Major|Smith of Wootton Major}","Smith of Wootton Major",,
"title","1.0","title-{goodreads_346+goodreads_41886+goodreads_46629+recommendation_101955+recommendation_138966+recommendation_14256+recommendation_178379+recommendation_196972+recommendation_238157+recommendation_3754+recommendation_65810+recommendation_72354}","goodreads_346+goodreads_41886+goodreads_46629+recommendation_101955+recommendation_138966+recommendation_14256+recommendation_178379+recommendation_196972+recommendation_238157+recommendation_3754+recommendation_65810+recommendation_72354","{The Hound of the Baskervilles|The Hound of the Baskervilles|The Hound of the Baskervilles|The Hound of the Baskervilles|The Hound of the Baskervilles|The Hound of the Baskervilles|The Hound of the Baskervilles|The Hound of the Baskervilles|The Hound of the Baskervilles|The Hound of the Baskervilles|The Hound of the Baskervilles|The Hound of the Baskervilles}","The Hound of the Baskervilles",,
"title","1.0","title-{goodreads_21423+kindle_11210+recommendation_12890+recommendation_28244+recommendation_80019}","goodreads_21423+kindle_11210+recommendation_12890+recommendation_28244+recommendation_80019","{Shogun|Shogun|Shogun|Shogun|Shogun}","Shogun",,
"title","1.0","title-{goodreads_3587+recommendation_82679}","goodreads_3587+recommendation_82679","{The House of Sleep|The House of Sleep}","The House of Sleep",,
"publisher","1.0","publisher-{recommendation_82679}","recommendation_82679","{Alfred A. Knopf}","Alfred A. Knopf",,
"publisher","0.0","publisher-{recommendation_12197+recommendation_176508+recommendation_254072+recommendation_43006+recommendation_50918}","recommendation_12197+recommendation_176508+recommendation_254072+recommendation_43006+recommendation_50918","{Grove Press|Pub Group West|Signet Book|Signet Classics|Bantam Books}","Signet Classics",,
"authors","1.0","authors-{goodreads_164+goodreads_50053+kindle_31067+recommendation_199750+recommendation_219173+recommendation_266126+recommendation_27894+recommendation_42352+recommendation_49170+recommendation_51889+recommendation_60248}","goodreads_164+goodreads_50053+kindle_31067+recommendation_199750+recommendation_219173+recommendation_266126+recommendation_27894+recommendation_42352+recommendation_49170+recommendation_51889+recommendation_60248","{[de.unimannheim.wdi.model.Author@77db54d9]|[de.unimannheim.wdi.model.Author@77db54d9]|[de.unimannheim.wdi.model.Author@77db54d9]|[de.unimannheim.wdi.model.Author@77db54d9]|[de.unimannheim.wdi.model.Author@77db54d9]|[de.unimannheim.wdi.model.Author@77db54d9]|[de.unimannheim.wdi.model.Author@77db54d9]|[de.unimannheim.wdi.model.Author@77db54d9]|[de.unimannheim.wdi.model.Author@77db54d9]|[de.unimannheim.wdi.model.Author@77db54d9]|[de.unimannheim.wdi.model.Author@77db54d9]}","[de.unimannheim.wdi.model.Author@77db54d9]",,
"authors","1.0","authors-{goodreads_32731+kindle_41207+recommendation_13721+recommendation_35979+recommendation_42190}","goodreads_32731+kindle_41207+recommendation_13721+recommendation_35979+recommendation_42190","{[de.unimannheim.wdi.model.Author@e28ba233]|[de.unimannheim.wdi.model.Author@e28ba233]|[de.unimannheim.wdi.model.Author@e28ba233]|[de.unimannheim.wdi.model.Author@e28ba233]|[de.unimannheim.wdi.model.Author@e28ba233]}","[de.unimannheim.wdi.model.Author@e28ba233]",,
"publisher","0.0","publisher-{recommendation_119595+recommendation_12468+recommendation_149768+recommendation_256454+recommendation_52838+recommendation_53189+recommendation_7611+recommendation_91625+recommendation_97902}","recommendation_119595+recommendation_12468+recommendation_149768+recommendation_256454+recommendation_52838+recommendation_53189+recommendation_7611+recommendation_91625+recommendation_97902","{Bantam|Penguin USA (Paper)|Signet Book|Airmont Pub Co|Signet Classics|Penguin Putnam~trade|Aladdin|Tor Books|Penguin Books Ltd}","Penguin Putnam~trade",,
"authors","1.0","authors-{goodreads_22873+recommendation_122836+recommendation_171344+recommendation_224278+recommendation_77440}","goodreads_22873+recommendation_122836+recommendation_171344+recommendation_224278+recommendation_77440","{[de.unimannheim.wdi.model.Author@aeddda90]|[de.unimannheim.wdi.model.Author@aeddda90]|[de.unimannheim.wdi.model.Author@aeddda90]|[de.unimannheim.wdi.model.Author@aeddda90]|[de.unimannheim.wdi.model.Author@aeddda90]}","[de.unimannheim.wdi.model.Author@aeddda90]",,
"publisher","0.0","publisher-{recommendation_104204+recommendation_27184+recommendation_52386}","recommendation_104204+recommendation_27184+recommendation_52386","{Bantam Books|Bantam Dell Pub Group|Ballantine Books}","Bantam Dell Pub Group",,
"title","1.0","title-{goodreads_14+goodreads_51891+recommendation_172109+recommendation_211835+recommendation_74048}","goodreads_14+goodreads_51891+recommendation_172109+recommendation_211835+recommendation_74048","{Wuthering Heights|Wuthering Heights|Wuthering Heights|Wuthering Heights|Wuthering Heights}","Wuthering Heights",,
"publisher","0.0","publisher-{recommendation_27495+recommendation_53303}","recommendation_27495+recommendation_53303","{Pocket|Harmony Books}","Harmony Books",,
"title","1.0","title-{goodreads_29884+goodreads_38646+goodreads_64+recommendation_229794+recommendation_4161+recommendation_8800}","goodreads_29884+goodreads_38646+goodreads_64+recommendation_229794+recommendation_4161+recommendation_8800","{The Giver|The Giver|The Giver|The Giver|The Giver|The Giver}","The Giver",,
"title","1.0","title-{goodreads_11240+goodreads_26366+goodreads_31458+recommendation_75599}","goodreads_11240+goodreads_26366+goodreads_31458+recommendation_75599","{The Heart Is a Lonely Hunter|The Heart Is a Lonely Hunter|The Heart Is a Lonely Hunter|The Heart Is a Lonely Hunter}","The Heart Is a Lonely Hunter",,
"title","1.0","title-{goodreads_218+goodreads_28516+goodreads_46106+goodreads_8178+recommendation_185003+recommendation_45576}","goodreads_218+goodreads_28516+goodreads_46106+goodreads_8178+recommendation_185003+recommendation_45576","{Jurassic Park|Jurassic Park|Jurassic Park|Jurassic Park|Jurassic Park|Jurassic Park}","Jurassic Park",,
"publisher","0.0","publisher-{recommendation_13194+recommendation_18479+recommendation_24222+recommendation_43973}","recommendation_13194+recommendation_18479+recommendation_24222+recommendation_43973","{New Amer Library Classics|Signet Book|Troll Communications|Bantam Books}","New Amer Library Classics",,
"title","1.0","title-{goodreads_2999+recommendation_30038+recommendation_5948}","goodreads_2999+recommendation_30038+recommendation_5948","{The Little Friend|The Little Friend|The Little Friend}","The Little Friend",,
"publisher","1.0","publisher-{recommendation_246}","recommendation_246","{Regan Books}","Regan Books",,
"title","1.0","title-{goodreads_15497+goodreads_26091+goodreads_32642+goodreads_3457+goodreads_4+goodreads_41440+recommendation_13194+recommendation_18479+recommendation_187270+recommendation_203111+recommendation_227385+recommendation_24222+recommendation_42+recommendation_43973+recommendation_46620+recommendation_51194+recommendation_6745}","goodreads_15497+goodreads_26091+goodreads_32642+goodreads_3457+goodreads_4+goodreads_41440+recommendation_13194+recommendation_18479+recommendation_187270+recommendation_203111+recommendation_227385+recommendation_24222+recommendation_42+recommendation_43973+recommendation_46620+recommendation_51194+recommendation_6745","{Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice|Pride and Prejudice}","Pride and Prejudice",,
"title","1.0","title-{goodreads_5695+recommendation_215414+recommendation_7874}","goodreads_5695+recommendation_215414+recommendation_7874","{Eaters of the Dead|Eaters of the Dead|Eaters of the Dead}","Eaters of the Dead",,
"title","1.0","title-{goodreads_24292+goodreads_279+goodreads_31403+recommendation_113878+recommendation_195072+recommendation_217770+recommendation_2260+recommendation_229202+recommendation_3700+recommendation_85420+recommendation_87623+recommendation_98546}","goodreads_24292+goodreads_279+goodreads_31403+recommendation_113878+recommendation_195072+recommendation_217770+recommendation_2260+recommendation_229202+recommendation_3700+recommendation_85420+recommendation_87623+recommendation_98546","{King Lear|King Lear|King Lear|King Lear|King Lear|King Lear|King Lear|King Lear|King Lear|King Lear|King Lear|King Lear}","King Lear",,
"publisher","0.0","publisher-{kindle_24941+kindle_3735+recommendation_134129+recommendation_183129+recommendation_239163+recommendation_69429+recommendation_74350+recommendation_7999}","kindle_24941+kindle_3735+recommendation_134129+recommendation_183129+recommendation_239163+recommendation_69429+recommendation_74350+recommendation_7999","{Insignia Publishing|HarperCollins e-books|Signet Book|Distribooks Inc|Stewart, Tabori, &amp; Chang|Ecco|Signet Classics|NTC/Contemporary Publishing Company}","NTC/Contemporary Publishing Company",,
"publisher","0.0","publisher-{kindle_25199+kindle_9747+recommendation_124173+recommendation_144017+recommendation_191408+recommendation_194122+recommendation_206812+recommendation_222125+recommendation_251823}","kindle_25199+kindle_9747+recommendation_124173+recommendation_144017+recommendation_191408+recommendation_194122+recommendation_206812+recommendation_222125+recommendation_251823","{HarperPerennial Classics|Public Domain Books|Signet Book|North South Books|Pocket Books (Mm)|Bantam Classic &amp; Loveswept|Bantam Books|Porrua|Smithmark Pub}","Bantam Classic &amp; Loveswept",,
"publisher","0.5","publisher-{recommendation_134982+recommendation_35938+recommendation_6295+recommendation_8131}","recommendation_134982+recommendation_35938+recommendation_6295+recommendation_8131","{Bantam Books|Bantam Pr Ltd|Bantam Books|Scribner}","Bantam Pr Ltd",,
"authors","1.0","authors-{goodreads_35551+goodreads_46058+goodreads_603+recommendation_29680+recommendation_41563+recommendation_55273+recommendation_83412}","goodreads_35551+goodreads_46058+goodreads_603+recommendation_29680+recommendation_41563+recommendation_55273+recommendation_83412","{[de.unimannheim.wdi.model.Author@55b6cad]|[de.unimannheim.wdi.model.Author@55b6cad]|[de.unimannheim.wdi.model.Author@55b6cad]|[de.unimannheim.wdi.model.Author@55b6cad]|[de.unimannheim.wdi.model.Author@55b6cad]|[de.unimannheim.wdi.model.Author@55b6cad]|[de.unimannheim.wdi.model.Author@55b6cad]}","[de.unimannheim.wdi.model.Author@55b6cad]",,
"authors","0.8333333333333334","authors-{goodreads_37949+recommendation_12197+recommendation_176508+recommendation_254072+recommendation_43006+recommendation_50918}","goodreads_37949+recommendation_12197+recommendation_176508+recommendation_254072+recommendation_43006+recommendation_50918","{[de.unimannheim.wdi.model.Author@be686d6a]|[de.unimannheim.wdi.model.Author@d258615e]|[de.unimannheim.wdi.model.Author@d258615e]|[de.unimannheim.wdi.model.Author@d258615e]|[de.unimannheim.wdi.model.Author@d258615e]|[de.unimannheim.wdi.model.Author@d258615e]}","[de.unimannheim.wdi.model.Author@be686d6a, de.unimannheim.wdi.model.Author@d258615e]",,
"authors","1.0","authors-{goodreads_1054+goodreads_14039+recommendation_2784+recommendation_32454}","goodreads_1054+goodreads_14039+recommendation_2784+recommendation_32454","{[de.unimannheim.wdi.model.Author@4cab17e6]|[de.unimannheim.wdi.model.Author@4cab17e6]|[de.unimannheim.wdi.model.Author@4cab17e6]|[de.unimannheim.wdi.model.Author@4cab17e6]}","[de.unimannheim.wdi.model.Author@4cab17e6]",,
"authors","1.0","authors-{goodreads_43711+recommendation_137521+recommendation_19734+recommendation_201290+recommendation_6041+recommendation_757}","goodreads_43711+recommendation_137521+recommendation_19734+recommendation_201290+recommendation_6041+recommendation_757","{[de.unimannheim.wdi.model.Author@c7b2085]|[de.unimannheim.wdi.model.Author@c7b2085]|[de.unimannheim.wdi.model.Author@c7b2085]|[de.unimannheim.wdi.model.Author@c7b2085]|[de.unimannheim.wdi.model.Author@c7b2085]|[de.unimannheim.wdi.model.Author@c7b2085]}","[de.unimannheim.wdi.model.Author@c7b2085]",,
"title","1.0","title-{goodreads_43713+recommendation_244474+recommendation_89399}","goodreads_43713+recommendation_244474+recommendation_89399","{Imperium|Imperium|Imperium}","Imperium",,
"authors","1.0","authors-{goodreads_42661+recommendation_227675}","goodreads_42661+recommendation_227675","{[de.unimannheim.wdi.model.Author@859efb31]|[de.unimannheim.wdi.model.Author@859efb31]}","[de.unimannheim.wdi.model.Author@859efb31]",,
"authors","1.0","authors-{goodreads_15497+goodreads_21750+goodreads_22014+goodreads_26091+goodreads_32642+goodreads_3457+goodreads_37886+goodreads_4+goodreads_41440+goodreads_45815+goodreads_48336+kindle_25188+kindle_9845+recommendation_13194+recommendation_142523+recommendation_16825+recommendation_182395+recommendation_18479+recommendation_187270+recommendation_193759+recommendation_203111+recommendation_20536+recommendation_227385+recommendation_24222+recommendation_42+recommendation_43973+recommendation_46620+recommendation_51194+recommendation_52725+recommendation_6745+recommendation_86926}","goodreads_15497+goodreads_21750+goodreads_22014+goodreads_26091+goodreads_32642+goodreads_3457+goodreads_37886+goodreads_4+goodreads_41440+goodreads_45815+goodreads_48336+kindle_25188+kindle_9845+recommendation_13194+recommendation_142523+recommendation_16825+recommendation_182395+recommendation_18479+recommendation_187270+recommendation_193759+recommendation_203111+recommendation_20536+recommendation_227385+recommendation_24222+recommendation_42+recommendation_43973+recommendation_46620+recommendation_51194+recommendation_52725+recommendation_6745+recommendation_86926","{[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]|[de.unimannheim.wdi.model.Author@5d871c4f]}","[de.unimannheim.wdi.model.Author@5d871c4f]",,
"authors","1.0","authors-{goodreads_53638+recommendation_24974}","goodreads_53638+recommendation_24974","{[de.unimannheim.wdi.model.Author@8ce40e7e]|[de.unimannheim.wdi.model.Author@8ce40e7e]}","[de.unimannheim.wdi.model.Author@8ce40e7e]",,
"publisher","0.6666666666666666","publisher-{recommendation_114803+recommendation_63539+recommendation_85524}","recommendation_114803+recommendation_63539+recommendation_85524","{Ballantine Books|Fawcett Books|Fawcett Books}","Ballantine Books",,
"publisher","1.0","publisher-{recommendation_101458+recommendation_140409}","recommendation_101458+recommendation_140409","{Tor Books|Tor Books}","Tor Books",,
"title","1.0","title-{goodreads_14702+goodreads_29656+goodreads_4041+goodreads_46655+recommendation_105538+recommendation_209435+recommendation_29640}","goodreads_14702+goodreads_29656+goodreads_4041+goodreads_46655+recommendation_105538+recommendation_209435+recommendation_29640","{Flowers for Algernon|Flowers for Algernon|Flowers for Algernon|Flowers for Algernon|Flowers for Algernon|Flowers for Algernon|Flowers for Algernon}","Flowers for Algernon",,
"authors","1.0","authors-{goodreads_7898+recommendation_4974}","goodreads_7898+recommendation_4974","{[de.unimannheim.wdi.model.Author@e2d95b54]|[de.unimannheim.wdi.model.Author@e2d95b54]}","[de.unimannheim.wdi.model.Author@e2d95b54]",,
"authors","0.42857142857142855","authors-{goodreads_1345+goodreads_35708+goodreads_53116+recommendation_104563+recommendation_192858+recommendation_82764+recommendation_86382}","goodreads_1345+goodreads_35708+goodreads_53116+recommendation_104563+recommendation_192858+recommendation_82764+recommendation_86382","{[de.unimannheim.wdi.model.Author@d18e5370]|[de.unimannheim.wdi.model.Author@d18e5370]|[de.unimannheim.wdi.model.Author@d18e5370]|[de.unimannheim.wdi.model.Author@aaded9f8]|[de.unimannheim.wdi.model.Author@aaded9f8]|[de.unimannheim.wdi.model.Author@aaded9f8]|[de.unimannheim.wdi.model.Author@6df5621e]}","[de.unimannheim.wdi.model.Author@aaded9f8, de.unimannheim.wdi.model.Author@6df5621e, de.unimannheim.wdi.model.Author@d18e5370]",,
"authors","1.0","authors-{goodreads_44907+goodreads_6292+recommendation_91327+recommendation_93559}","goodreads_44907+goodreads_6292+recommendation_91327+recommendation_93559","{[de.unimannheim.wdi.model.Author@7c01397c]|[de.unimannheim.wdi.model.Author@7c01397c]|[de.unimannheim.wdi.model.Author@7c01397c]|[de.unimannheim.wdi.model.Author@7c01397c]}","[de.unimannheim.wdi.model.Author@7c01397c]",,
"publisher","1.0","publisher-{recommendation_167047}","recommendation_167047","{Tor Fantasy}","Tor Fantasy",,
"authors","0.8333333333333334","authors-{goodreads_19456+goodreads_35512+recommendation_180+recommendation_2231+recommendation_249337+recommendation_66946}","goodreads_19456+goodreads_35512+recommendation_180+recommendation_2231+recommendation_249337+recommendation_66946","{[de.unimannheim.wdi.model.Author@e29c9462]|[de.unimannheim.wdi.model.Author@e29c9462]|[de.unimannheim.wdi.model.Author@e29c9462]|[de.unimannheim.wdi.model.Author@e7a3a442]|[de.unimannheim.wdi.model.Author@e29c9462]|[de.unimannheim.wdi.model.Author@e29c9462]}","[de.unimannheim.wdi.model.Author@e7a3a442, de.unimannheim.wdi.model.Author@e29c9462]",,
"authors","1.0","authors-{goodreads_41943+goodreads_7792+recommendation_100337+recommendation_28560}","goodreads_41943+goodreads_7792+recommendation_100337+recommendation_28560","{[de.unimannheim.wdi.model.Author@d58e9f28]|[de.unimannheim.wdi.model.Author@d58e9f28]|[de.unimannheim.wdi.model.Author@d58e9f28]|[de.unimannheim.wdi.model.Author@d58e9f28]}","[de.unimannheim.wdi.model.Author@d58e9f28]",,
"publisher","0.0","publisher-{recommendation_101189+recommendation_55226}","recommendation_101189+recommendation_55226","{Simon &amp; Schuster Children's Publishing|Scholastic Paperbacks}","Simon &amp; Schuster Children's Publishing",,
"publisher","1.0","publisher-{recommendation_181857}","recommendation_181857","{Algonquin Books of Chapel Hill}","Algonquin Books of Chapel Hill",,
"title","1.0","title-{goodreads_1823+kindle_31379+recommendation_189872+recommendation_8024}","goodreads_1823+kindle_31379+recommendation_189872+recommendation_8024","{Bet Me|Bet Me|Bet Me|Bet Me}","Bet Me",,
"title","1.0","title-{goodreads_42579+recommendation_142522+recommendation_44875+recommendation_73187}","goodreads_42579+recommendation_142522+recommendation_44875+recommendation_73187","{Comstock Lode|Comstock Lode|Comstock Lode|Comstock Lode}","Comstock Lode",,
"title","1.0","title-{goodreads_45688+recommendation_142437}","goodreads_45688+recommendation_142437","{Summer's Storm|Summer's Storm}","Summer's Storm",,
"title","1.0","title-{goodreads_9114+recommendation_105294+recommendation_300}","goodreads_9114+recommendation_105294+recommendation_300","{The League of Extraordinary Gentlemen, Vol. 1|The League of Extraordinary Gentlemen, Vol. 1|The League of Extraordinary Gentlemen, Vol. 1}","The League of Extraordinary Gentlemen, Vol. 1",,
"publisher","0.3333333333333333","publisher-{kindle_2817+recommendation_115201+recommendation_177319+recommendation_202877+recommendation_21410+recommendation_229810}","kindle_2817+recommendation_115201+recommendation_177319+recommendation_202877+recommendation_21410+recommendation_229810","{Little, Brown and Company; 1st edition|Warner Books|Orion|Sagebrush Bound|Warner Books|Orion}","Little, Brown and Company; 1st edition",,
"title","1.0","title-{goodreads_1768+recommendation_9398}","goodreads_1768+recommendation_9398","{The Birth of Venus|The Birth of Venus}","The Birth of Venus",,
"publisher","0.0","publisher-{recommendation_225576+recommendation_53163+recommendation_58177}","recommendation_225576+recommendation_53163+recommendation_58177","{Fawcett Books|Simon Pulse|Sagebrush Bound}","Sagebrush Bound",,
"authors","1.0","authors-{goodreads_11971+recommendation_10091}","goodreads_11971+recommendation_10091","{[de.unimannheim.wdi.model.Author@96fd6d6b]|[de.unimannheim.wdi.model.Author@96fd6d6b]}","[de.unimannheim.wdi.model.Author@96fd6d6b]",,
"authors","1.0","authors-{goodreads_25277+recommendation_113545+recommendation_271305}","goodreads_25277+recommendation_113545+recommendation_271305","{[de.unimannheim.wdi.model.Author@161cd6e4]|[de.unimannheim.wdi.model.Author@161cd6e4]|[de.unimannheim.wdi.model.Author@161cd6e4]}","[de.unimannheim.wdi.model.Author@161cd6e4]",,
"publisher","0.0","publisher-{recommendation_11832+recommendation_170519+recommendation_177781+recommendation_224903}","recommendation_11832+recommendation_170519+recommendation_177781+recommendation_224903","{Penguin USA|New American Library|Book Depot Remainders|Farrar Straus Giroux}","Book Depot Remainders",,
"title","1.0","title-{goodreads_2572+recommendation_40759+recommendation_7463+recommendation_79896+recommendation_94970}","goodreads_2572+recommendation_40759+recommendation_7463+recommendation_79896+recommendation_94970","{The Book of Laughter and Forgetting|The Book of Laughter and Forgetting|The Book of Laughter and Forgetting|The Book of Laughter and Forgetting|The Book of Laughter and Forgetting}","The Book of Laughter and Forgetting",,
"publisher","1.0","publisher-{recommendation_55100}","recommendation_55100","{Harcourt}","Harcourt",,
"title","1.0","title-{goodreads_21+goodreads_28544+goodreads_32447+goodreads_33762+goodreads_39134+goodreads_39207+goodreads_51867+goodreads_51985+goodreads_52973+goodreads_6679+kindle_25194+recommendation_144264+recommendation_158829+recommendation_166635+recommendation_204623+recommendation_226891+recommendation_242878+recommendation_248931+recommendation_27650+recommendation_28494+recommendation_3324+recommendation_40043+recommendation_41258+recommendation_58232+recommendation_69676+recommendation_72292+recommendation_84626+recommendation_84832+recommendation_9546}","goodreads_21+goodreads_28544+goodreads_32447+goodreads_33762+goodreads_39134+goodreads_39207+goodreads_51867+goodreads_51985+goodreads_52973+goodreads_6679+kindle_25194+recommendation_144264+recommendation_158829+recommendation_166635+recommendation_204623+recommendation_226891+recommendation_242878+recommendation_248931+recommendation_27650+recommendation_28494+recommendation_3324+recommendation_40043+recommendation_41258+recommendation_58232+recommendation_69676+recommendation_72292+recommendation_84626+recommendation_84832+recommendation_9546","{Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre|Jane Eyre}","Jane Eyre",,
