"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorEqual record1Value","[0] BookTitleComparatorEqual record2Value","[0] BookTitleComparatorEqual record1PreprocessedValue","[0] BookTitleComparatorEqual record2PreprocessedValue","[0] BookTitleComparatorEqual similarity","[0] BookTitleComparatorEqual postproccesedSimilarity","[1] BookAuthorComparatorJaccard record1Value","[1] BookAuthorComparatorJaccard record2Value","[1] BookAuthorComparatorJaccard record1PreprocessedValue","[1] BookAuthorComparatorJaccard record2PreprocessedValue","[1] BookAuthorComparatorJaccard similarity","[1] BookAuthorComparatorJaccard postproccesedSimilarity","[2] BookAuthorComparatorLevenshtein record1Value","[2] BookAuthorComparatorLevenshtein record2Value","[2] BookAuthorComparatorLevenshtein record1PreprocessedValue","[2] BookAuthorComparatorLevenshtein record2PreprocessedValue","[2] BookAuthorComparatorLevenshtein similarity","[2] BookAuthorComparatorLevenshtein postproccesedSimilarity","[3] BookPublisherComparatorJaccard record1Value","[3] BookPublisherComparatorJaccard record2Value","[3] BookPublisherComparatorJaccard record1PreprocessedValue","[3] BookPublisherComparatorJaccard record2PreprocessedValue","[3] BookPublisherComparatorJaccard similarity","[3] BookPublisherComparatorJaccard postproccesedSimilarity","[4] BookPublisherComparatorLevenshtein record1Value","[4] BookPublisherComparatorLevenshtein record2Value","[4] BookPublisherComparatorLevenshtein record1PreprocessedValue","[4] BookPublisherComparatorLevenshtein record2PreprocessedValue","[4] BookPublisherComparatorLevenshtein similarity","[4] BookPublisherComparatorLevenshtein postproccesedSimilarity","[5] BookPageComparator100Page record1Value","[5] BookPageComparator100Page record2Value","[5] BookPageComparator100Page record1PreprocessedValue","[5] BookPageComparator100Page record2PreprocessedValue","[5] BookPageComparator100Page similarity","[5] BookPageComparator100Page postproccesedSimilarity","[6] BookPageComparator50Page record1Value","[6] BookPageComparator50Page record2Value","[6] BookPageComparator50Page record1PreprocessedValue","[6] BookPageComparator50Page record2PreprocessedValue","[6] BookPageComparator50Page similarity","[6] BookPageComparator50Page postproccesedSimilarity"
"WekaMatchingRule","recommendation_34260","goodreads_4863","0.9391025641025641","1","farmer boy","farmer boy","farmer boy","farmer boy","1.0","1.0","Laura Ingall Wilder","Laura Ingalls Wilder","Laura Ingall Wilder","Laura Ingalls Wilder","0.5","1.0","Laura Ingall Wilder","Laura Ingalls Wilder","Laura Ingall Wilder","Laura Ingalls Wilder","0.95","1.0","scholastic inc",,"scholastic inc",,"0.0","0.0","scholastic inc",,"scholastic inc",,"0.0","0.0","0","357","0","357","0.0","0.0","0","357","0","357","0.0","0.0"
"WekaMatchingRule","recommendation_266228","goodreads_1778","0.06447831184056271","0","immortality","immortality","immortality","immortality","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Ben, Dr Bova","Milan Kundera","Ben, Dr Bova","Milan Kundera","0.15384615384615385","0.0","audio literature",,"audio literature",,"0.0","0.0","audio literature",,"audio literature",,"0.0","0.0","0","400","0","400","0.0","0.0","0","400","0","400","0.0","0.0"
"WekaMatchingRule","recommendation_62852","goodreads_34082","0.9391025641025641","1","chourmo","chourmo","chourmo","chourmo","1.0","1.0","Jean Claude Izzo","Jean-Claude Izzo","Jean Claude Izzo","Jean-Claude Izzo","1.0","1.0","Jean Claude Izzo","Jean-Claude Izzo","Jean Claude Izzo","Jean-Claude Izzo","0.9375","1.0","gallimard french",,"gallimard french",,"0.0","0.0","gallimard french",,"gallimard french",,"0.0","0.0","0","256","0","256","0.0","0.0","0","256","0","256","0.0","0.0"
"WekaMatchingRule","recommendation_6024","goodreads_3326","0.06447831184056271","1","still life with crows","still life with crows","still life with crows","still life with crows","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Lincoln Child","Douglas Preston","Lincoln Child","Douglas Preston","0.06666666666666665","0.0","warner books",,"warner books",,"0.0","0.0","warner books",,"warner books",,"0.0","0.0","0","564","0","564","0.0","0.0","0","564","0","564","0.0","0.0"
"WekaMatchingRule","recommendation_264290","goodreads_53337","0.9391025641025641","1","othello","othello","othello","othello","1.0","1.0","William Shakespeare","William Shakespeare","William Shakespeare","William Shakespeare","1.0","1.0","William Shakespeare","William Shakespeare","William Shakespeare","William Shakespeare","1.0","1.0","washington square press",,"washington square press",,"0.0","0.0","washington square press",,"washington square press",,"0.0","0.0","0","116","0","116","0.0","0.0","0","116","0","116","0.0","0.0"
"WekaMatchingRule","recommendation_80620","goodreads_22278","0.06447831184056271","0","unmasked","unmasked","unmasked","unmasked","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Jennifer Blake","Turia Pitt","Jennifer Blake","Turia Pitt","0.1428571428571429","0.0","mira",,"mira",,"0.0","0.0","mira",,"mira",,"0.0","0.0","0","0","0","0","1.0","1.0","0","0","0","0","1.0","1.0"
"WekaMatchingRule","recommendation_173179","goodreads_47736","0.9391025641025641","1","hobbit","hobbit","hobbit","hobbit","1.0","1.0","J. R. R. Tolkien","J.R.R. Tolkien","J. R. R. Tolkien","J.R.R. Tolkien","1.0","1.0","J. R. R. Tolkien","J.R.R. Tolkien","J. R. R. Tolkien","J.R.R. Tolkien","0.875","1.0","eclipse books",,"eclipse books",,"0.0","0.0","eclipse books",,"eclipse books",,"0.0","0.0","0","423","0","423","0.0","0.0","0","423","0","423","0.0","0.0"
"WekaMatchingRule","recommendation_18723","goodreads_25444","0.06447831184056271","0","why she left us","why she left us","why she left us","why she left us","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Rahna R. Rizzuto","David Dennis","Rahna R. Rizzuto","David Dennis","0.1875","0.0","harpercollins publishers",,"harpercollins publishers",,"0.0","0.0","harpercollins publishers",,"harpercollins publishers",,"0.0","0.0","0","432","0","432","0.0","0.0","0","432","0","432","0.0","0.0"
"WekaMatchingRule","recommendation_237413","goodreads_49569","0.06447831184056271","0","deception","deception","deception","deception","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Amanda Quick","Philip Roth","Amanda Quick","Philip Roth","0.08333333333333337","0.0","bantam dell pub group",,"bantam dell pub group",,"0.0","0.0","bantam dell pub group",,"bantam dell pub group",,"0.0","0.0","0","208","0","208","0.0","0.0","0","208","0","208","0.0","0.0"
"WekaMatchingRule","recommendation_180614","goodreads_439","0.06447831184056271","0","wonder","wonder","wonder","wonder","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Rachel Vail","R.J. Palacio","Rachel Vail","R.J. Palacio","0.25","0.0","puffin books",,"puffin books",,"0.0","0.0","puffin books",,"puffin books",,"0.0","0.0","0","410","0","410","0.0","0.0","0","410","0","410","0.0","0.0"
"WekaMatchingRule","recommendation_108546","goodreads_35002","0.06447831184056271","0","the island","the island","the island","the island","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Peter Benchley","Elin Hilderbrand","Peter Benchley","Elin Hilderbrand","0.125","0.0","bantam dell pub group",,"bantam dell pub group",,"0.0","0.0","bantam dell pub group",,"bantam dell pub group",,"0.0","0.0","0","416","0","416","0.0","0.0","0","416","0","416","0.0","0.0"
"WekaMatchingRule","recommendation_122085","goodreads_35709","0.9391025641025641","1","reaper man","reaper man","reaper man","reaper man","1.0","1.0","Terry Pratchett","Terry Pratchett","Terry Pratchett","Terry Pratchett","1.0","1.0","Terry Pratchett","Terry Pratchett","Terry Pratchett","Terry Pratchett","1.0","1.0","harpertorch",,"harpertorch",,"0.0","0.0","harpertorch",,"harpertorch",,"0.0","0.0","0","298","0","298","0.0","0.0","0","298","0","298","0.0","0.0"
"WekaMatchingRule","recommendation_54715","goodreads_52274","0.06447831184056271","0","three","three","three","three","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Julie Hilden","Kristen Simmons","Julie Hilden","Kristen Simmons","0.2666666666666667","0.0","plume books",,"plume books",,"0.0","0.0","plume books",,"plume books",,"0.0","0.0","0","384","0","384","0.0","0.0","0","384","0","384","0.0","0.0"
"WekaMatchingRule","recommendation_57059","goodreads_1342","0.9391025641025641","1","fathers and sons","fathers and sons","fathers and sons","fathers and sons","1.0","1.0","Ivan Sergeevich Turgenev","Ivan Turgenev","Ivan Sergeevich Turgenev","Ivan Turgenev","0.6666666666666666","1.0","Ivan Sergeevich Turgenev","Ivan Turgenev","Ivan Sergeevich Turgenev","Ivan Turgenev","0.5416666666666667","1.0","signet classics",,"signet classics",,"0.0","0.0","signet classics",,"signet classics",,"0.0","0.0","0","244","0","244","0.0","0.0","0","244","0","244","0.0","0.0"
"WekaMatchingRule","recommendation_236259","goodreads_4816","0.06447831184056271","0","alamut","alamut","alamut","alamut","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Judith Tarr","Vladimir Bartol","Judith Tarr","Vladimir Bartol","0.33333333333333337","0.0","doubleday books",,"doubleday books",,"0.0","0.0","doubleday books",,"doubleday books",,"0.0","0.0","0","510","0","510","0.0","0.0","0","510","0","510","0.0","0.0"
"WekaMatchingRule","recommendation_139748","goodreads_37983","0.06447831184056271","0","the protector","the protector","the protector","the protector","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","David Morrell","Jodi Ellen Malpas","David Morrell","Jodi Ellen Malpas","0.11764705882352944","0.0","warner books",,"warner books",,"0.0","0.0","warner books",,"warner books",,"0.0","0.0","0","384","0","384","0.0","0.0","0","384","0","384","0.0","0.0"
"WekaMatchingRule","recommendation_32454","goodreads_14039","0.9391025641025641","1","bastard out of carolina","bastard out of carolina","bastard out of carolina","bastard out of carolina","1.0","1.0","Dorothy Allison","Dorothy Allison","Dorothy Allison","Dorothy Allison","1.0","1.0","Dorothy Allison","Dorothy Allison","Dorothy Allison","Dorothy Allison","1.0","1.0","dutton books",,"dutton books",,"0.0","0.0","dutton books",,"dutton books",,"0.0","0.0","0","309","0","309","0.0","0.0","0","309","0","309","0.0","0.0"
"WekaMatchingRule","recommendation_16182","goodreads_112","0.9391025641025641","1","charlie and the chocolate factory","charlie and the chocolate factory","charlie and the chocolate factory","charlie and the chocolate factory","1.0","1.0","ROALD DAHL","Roald Dahl","ROALD DAHL","Roald Dahl","1.0","1.0","ROALD DAHL","Roald Dahl","ROALD DAHL","Roald Dahl","1.0","1.0","knopf books for young readers",,"knopf books for young readers",,"0.0","0.0","knopf books for young readers",,"knopf books for young readers",,"0.0","0.0","0","176","0","176","0.0","0.0","0","176","0","176","0.0","0.0"
"WekaMatchingRule","recommendation_66521","goodreads_52942","0.06447831184056271","0","echo","echo","echo","echo","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Francesca Lia Block","Alyson Noel","Francesca Lia Block","Alyson Noel","0.21052631578947367","0.0","joanna cotler",,"joanna cotler",,"0.0","0.0","joanna cotler",,"joanna cotler",,"0.0","0.0","0","353","0","353","0.0","0.0","0","353","0","353","0.0","0.0"
"WekaMatchingRule","recommendation_10811","goodreads_53374","0.06447831184056271","0","chosen","chosen","chosen","chosen","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Nancy Holder","Jeanne C. Stein","Nancy Holder","Jeanne C. Stein","0.2666666666666667","0.0","simon spotlight entertainment",,"simon spotlight entertainment",,"0.0","0.0","simon spotlight entertainment",,"simon spotlight entertainment",,"0.0","0.0","0","294","0","294","0.0","0.0","0","294","0","294","0.0","0.0"
"WekaMatchingRule","recommendation_84862","goodreads_11265","0.9391025641025641","1","the 120 days of sodom and other writings","the 120 days of sodom and other writings","the 120 days of sodom and other writings","the 120 days of sodom and other writings","1.0","1.0","Marquis De Sade","Marquis de Sade","Marquis De Sade","Marquis de Sade","1.0","1.0","Marquis De Sade","Marquis de Sade","Marquis De Sade","Marquis de Sade","1.0","1.0","grove press",,"grove press",,"0.0","0.0","grove press",,"grove press",,"0.0","0.0","0","799","0","799","0.0","0.0","0","799","0","799","0.0","0.0"
"WekaMatchingRule","recommendation_108978","goodreads_1534","0.06447831184056271","0","women","women","women","women","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Annie Leibovitz","Charles Bukowski","Annie Leibovitz","Charles Bukowski","0.125","0.0","random house",,"random house",,"0.0","0.0","random house",,"random house",,"0.0","0.0","0","291","0","291","0.0","0.0","0","291","0","291","0.0","0.0"
"WekaMatchingRule","recommendation_63644","goodreads_13265","0.9391025641025641","1","people of the fire","people of the fire","people of the fire","people of the fire","1.0","1.0","W.Michael Gear","W. Michael Gear","W.Michael Gear","W. Michael Gear","1.0","1.0","W.Michael Gear","W. Michael Gear","W.Michael Gear","W. Michael Gear","0.9333333333333333","1.0","tor books",,"tor books",,"0.0","0.0","tor books",,"tor books",,"0.0","0.0","0","467","0","467","0.0","0.0","0","467","0","467","0.0","0.0"
"WekaMatchingRule","recommendation_39526","goodreads_38949","0.9391025641025641","1","great american short stories","great american short stories","great american short stories","great american short stories","1.0","1.0","Wallace Stegner","Mary Stegner","Wallace Stegner","Mary Stegner","0.3333333333333333","0.0","Wallace Stegner","Mary Stegner","Wallace Stegner","Mary Stegner","0.6","1.0","dell publishing company",,"dell publishing company",,"0.0","0.0","dell publishing company",,"dell publishing company",,"0.0","0.0","0","512","0","512","0.0","0.0","0","512","0","512","0.0","0.0"
"WekaMatchingRule","recommendation_18746","goodreads_51226","0.06447831184056271","0","timepiece","timepiece","timepiece","timepiece","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Richard Paul Evans","Myra McEntire","Richard Paul Evans","Myra McEntire","0.11111111111111116","0.0","pocket",,"pocket",,"0.0","0.0","pocket",,"pocket",,"0.0","0.0","0","325","0","325","0.0","0.0","0","325","0","325","0.0","0.0"
"WekaMatchingRule","recommendation_67234","goodreads_46493","0.06447831184056271","0","under the skin","under the skin","under the skin","under the skin","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Michel Faber","James Carlos Blake","Michel Faber","James Carlos Blake","0.2777777777777778","0.0","canongate books ltd",,"canongate books ltd",,"0.0","0.0","canongate books ltd",,"canongate books ltd",,"0.0","0.0","0","304","0","304","0.0","0.0","0","304","0","304","0.0","0.0"
"WekaMatchingRule","recommendation_55253","goodreads_268","0.9391025641025641","1","i know this much is true","i know this much is true","i know this much is true","i know this much is true","1.0","1.0","Wally Lamb","Wally Lamb","Wally Lamb","Wally Lamb","1.0","1.0","Wally Lamb","Wally Lamb","Wally Lamb","Wally Lamb","1.0","1.0","reganbooks",,"reganbooks",,"0.0","0.0","reganbooks",,"reganbooks",,"0.0","0.0","0","897","0","897","0.0","0.0","0","897","0","897","0.0","0.0"
"WekaMatchingRule","recommendation_208375","goodreads_12397","0.9391025641025641","1","paris 1919: six months that changed the world","paris 1919: six months that changed the world","paris 1919: six months that changed the world","paris 1919: six months that changed the world","1.0","1.0","Margaret Olwen Macmillan","Margaret MacMillan","Margaret Olwen Macmillan","Margaret MacMillan","0.6666666666666666","1.0","Margaret Olwen Macmillan","Margaret MacMillan","Margaret Olwen Macmillan","Margaret MacMillan","0.75","1.0","random house",,"random house",,"0.0","0.0","random house",,"random house",,"0.0","0.0","0","570","0","570","0.0","0.0","0","570","0","570","0.0","0.0"
