"Blocking Key Value","Frequency"
"Stories,Flash Point,Out of Sight,The Wish,All Fall Down,Grave Secrets,Psycho,Remember,Go Ask Alice,Deadly Decisions,Red Dragon,Wanted,Out on a Limb,Leaves of Grass,Watchmen,Sea Glass,Chameleon,Eric,Choke,The Sign of the Beaver,Wild,True Grit,World's End,Christine,Moo,Fate,Brothers,Fear,Without a Trace,Winter,Drums of Autumn,Tempted,Dreamland,Song of Solomon,The Great Divorce,Under Fire,The Bell Jar,The Communist Manifesto,Comanche Moon,Above Suspicion,Undue Influence,North and South,When Lightning Strikes,All Quiet on the Western Front,Gulliver's Travels,The Lover,Holes,Original Sin,Rising Tides,The Heart Is a Lonely Hunter,Suspicion,The Mermaids Singing,Killing Floor,Awakenings,Almost Perfect,Blindness,The Search,Loving,Julius Caesar,See How They Run,The Silence of the Lambs,Wings,Follow Your Heart,Something Wicked This Way Comes,The Love Letter,Retribution,Pop Goes the Weasel,The Teeth of the Tiger,A Matter of Honor,Over the Edge,Atonement,Play Dead,A Knight in Shining Armor,The Fixer,The Mists of Avalon,Touch,The Mask,Babbitt,Cause of Death,Howl's Moving Castle,Along Came a Spider,Outcast,Romeo and Juliet,Harriet the Spy,Last Call,The Lovely Bones,Gone with the Wind,Blood Brothers,Any Human Heart,Fallen Angels,The Way Home,The Oath,Protector,Native Tongue,Metamorphosis,All Things Bright and Beautiful,Trash,Mythology,From Here to Eternity,Afterlife,Cradle and All,The House of the Spirits,The Island,Smiley's People,Outlaw,Creed,Ghosts,Intensity,Shiloh,Picture Perfect,Fatherland,Empress,Mystique,Conflict of Interest,Origin,My Soul to Keep,Blind Faith,Little House on the Prairie,Pearl,Quarantine,Ill Wind,The Hiding Place,Promise Me,Omerta,Don't Look Back,Anthem,The Crow,Unseen,Pinocchio,No Place Like Home,Control,Word of Honor,In the Beginning,Sula,The Wedding Dress,Narcissus and Goldmund,L.A. Confidential,Gather Together in My Name,Mrs. Dalloway,True Colors","8"
"A Christmas Carol","104"
"Tales of a Fourth Grade Nothing,Chesapeake,Guilty Pleasures,The Firm,About a Boy,Even Cowgirls Get the Blues,My Side of the Mountain,Merlin,White Lies,The Carousel,Sons and Lovers,Mystic River,Sounder,The Prince and the Pauper,Timeline,Moll Flanders,Light a Penny Candle,Cheaper by the Dozen,Maiden Voyage,Breathing Lessons,Origins,Airport,Tara Road,The Testament,Popcorn,Grace,Enchanted,The Hundred Secret Senses,Someone Like You,Snow Falling on Cedars,Silent Partner,Ragtime,A Time to Kill,The Blue Sword,Rain,Silent Spring,Oscar and Lucinda,Hatchet,Unforgettable","7"
"Great Expectations","102"
"Jealousy,V.,The Will,Ishmael,Faith,House of Secrets,The Stepford Wives,A Connecticut Yankee in King Arthur's Court,The Outsiders,Ringworld,Fables,Light,Summerland,Sugar,Thunderhead,The Highwayman,Catch-22,The Golden Gate,Lost Girls,Ecstasy,The Restaurant at the End of the Universe,Glass Houses,Flashpoint,Starlight,Fantastic Beasts and Where to Find Them,Imperium,The Edible Woman,Beezus and Ramona,Black Like Me,Master of the Game,Magician,Dust,Starfire,Full Circle,Captive,Dark Fire,Going Solo,The Devil You Know,A World Away,Easy,The Hanged Man,The Running Man,Leaving Home,Into the Darkness,Messenger,Hiroshima,The Siege,Jamaica Inn,Ozma of Oz,Betrayed,Heroes,One,In a Heartbeat,Good Morning, Midnight,Absolutely, Positively,Fade,Kitchen,Feed,Ariel,Partners,Full House,Cyclops,Sahara,Untitled,The Blind Assassin,The Bluest Eye,The Keepsake,Democracy in America,I Never Promised You a Rose Garden,Reality Check,Elixir,Pale Blue Dot: A Vision of the Human Future in Space,Dream a Little Dream,Undone,The Robber Bride,The Adventures of Huckleberry Finn,Black Water,Salem Falls,Poison,The Pledge,Excalibur,The Family,The Girls,The Scapegoat,Ireland,The Thief Lord,Captains Courageous,Gone,The Brothers Karamazov,Rainbow Six,After You,Belladonna,The End of the Affair,Zero at the Bone,The Messenger,Ever After,Dangerous Games,Earth,Contagion,Identity,The President's Daughter,Rosemary's Baby,The Aeneid,Invisible Man,The Magician,This Perfect Day,Birds of Prey,Next of Kin,Snow Country,The Princess Diaries,Edge of Eternity,Never Enough,Unnatural Exposure,Seven Years in Tibet,Longing,The Best Laid Plans,Renegade,Waiting,Small World,Now You See Me,The Children of Green Knowe,The Confession,Pyramids,Nightshade,Double Helix,The Summoning,Emerald,Olivia,When We Were Very Young,Germinal,Beneath the Skin,Siege,Main Street,Superstition,The Lake House,The Wanderer,The Hunt for Red October,The Invisible Man,Damage,All Things Wise and Wonderful,The Elementals,The Lost,The Prize,Jinx,Lincoln,Remembrance,Frederica,Inherit the Stars,Franny and Zooey,The Perfect Storm: A True Story of Men Against the Sea,Venom,The Shadow of the Wind,Girl, Interrupted,Midnight Sun,Mockingbird,The Arrangement,Pentimento,Ordinary People,Tracks,Infamous,The Poisonwood Bible,Nobody's Angel,A God in Ruins,Colony,Chronicle of a Death Foretold,Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch,Hawaii,The Tower,Longshot,Never Look Back,The Runaway Jury,Shibumi,Prophet,The Other Side,Embers,House of Shadows,The Fourth Hand,Lost Souls,The Da Vinci Code,If Tomorrow Comes,Notes from the Underground,One Day in the Life of Ivan Denisovich,The Golden Bough,Brazil,Cat and Mouse,Disgrace,Return to Paradise,Nightmare,Heart of Darkness,Leap of Faith,Fatal Vision,Mine,Revenant,Momo,Mort,Little Men,The Complete Short Stories,Iceberg,Split Second,Whitney, My Love,Black Notice,As I Lay Dying,To Hell and Back,The Origin of Species,The Intruder,Second Sight,Tattoo,Wise Children,El Silmarillion,Side Effects,Need,Mariana,Enchantress,Acts of Faith,The Winter People,Presumed Innocent,Quicksilver,A Midsummer Night's Dream,Kindred,Manhattan Transfer,In His Steps,Killer,Blind Spot,Winterkill,Battlefield Earth: A Saga of the Year 3000,Sabrina,Spiral,Forever My Love,The Serpent's Shadow,The Poet,Curtain,The Complete Plays,Parable of the Sower,Pedagogy of the Oppressed,The House at Pooh Corner,Just So Stories,The Nightingale,The Postman,Always and Forever,A Confederacy of Dunces,Ivanhoe,Unveiled,Happiness,Candy,Sphinx,Now You See Her,River God,The Assistant,Skipping Christmas,Dark Magic,The Black Rose,Speak,Dark Horse,Shadow Magic,Bed of Roses,Pulp,The Warrior,Kaleidoscope,The Captive,Conspiracy,Daddy's Girl,Eye of the Needle,The Power of One,Old Yeller,Wolfsbane,Indigo,Katherine,Fingersmith,Lost Horizon,The Gathering,Underworld,Stone Cold,Rage,Falling,Thinner,Desire,The Tale of Benjamin Bunny,Cannery Row,The 25th Hour,The Wind-Up Bird Chronicle,The Farthest Shore,Always the Bridesmaid,Blood Rites,Framed,The Vampire Lestat,The Counterlife,One Flew Over the Cuckoo's Nest,Savages,Justice,Memory,Deceit,Snow Crash,Contact,The Story of My Life,The Changeling,A Bend in the Road,Stranger,Trapped,Andorra,The Thief,Solo,The Player of Games,Jacob Have I Loved,Different Seasons,The Woman in White,The Diviners,There Are Doors,The Time Traveler's Wife,The Portrait of a Lady,Rebecca of Sunnybrook Farm,The Black Pearl,Homeplace,The Black Book,Anne's House of Dreams,Immortal,The Dead,Giovanni's Room,Desired","6"
"Sense and Sensibility,Nemesis","84"
"Rose Madder,Voyager,Notorious,Coma,Sole Survivor,Another Fine Myth,Blood Games,The Damnation Game,Waiting to Exhale,Riding the Rap,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,Felicia's Journey,Wish List,Out of the Shadows,Breathe,Pocahontas,The Jesus Incident,On Wings of Eagles,Servant of the Bones,Sooner or Later,White Noise,The Secret History,Prospero's Children,Stargirl,Sister Carrie,Dead Even,Halloween Party,The Chamber,Strange Angels,No Safe Place,Scarlet Feather,Daniel Martin,Cover Her Face,Sleeping Dogs,The Hero and the Crown,The Spy Who Came in from the Cold,Gerald's Game,Night Magic,For All Time,The Idiot,Rabbit Redux,A Painted House,Last Orders,Shame,Little Altars Everywhere,Nine Stories,The Forest House,Hope,Smoke and Mirrors,Ecotopia,Friday,Forget Me Not,Mischief,The Dosadi Experiment,Celebration,The Bastard,Breathless,Vixen 03,Rubyfruit Jungle,Big Trouble,The Bonesetter's Daughter,The Trumpet of the Swan,Siren Song,A Cast of Killers,Red Storm Rising,The Collected Poems,Cry Wolf,Cry to Heaven,Cuentos,Family Affairs,Silence,Snow White and the Seven Dwarfs,The Big Picture,The Bridge,Sons of Fortune,Summertime,Tapestry,Kiss,Angel Fire,Amsterdam,Wish You Well,Going After Cacciato,The House That Jack Built,Solstice,The Street Lawyer,The Borrowers,The Dead Zone,Anna's Book,The Bourne Identity,Mexico,Hideaway,Where the Heart Is,The Inheritance,A Grief Observed,Fallen Angel,Pilgrim at Tinker Creek,Dear Mr. Henshaw,Night,Maya,Danger,Charlotte's Web,The Executioner's Song,Searching for Caleb,Kane and Abel,Another Roadside Attraction,Black House,Patriots,The River,Innocent Blood,Hunter's Moon,The Name of the Rose,Forrest Gump,Thin Air,Airframe,Desperation,Fear of Flying,My Antonia,Ancient Evenings,Safe Harbor,I Dreamed of Africa,Virus,The Secret Adversary,Bodily Harm,The Lion's Game,Time Enough for Love,The Moviegoer,All Around the Town,Zen and the Art of Motorcycle Maintenance,Grendel,The Secret Agent,Wonder,Nicholas and Alexandra,Saint Maybe,Space,The Enormous Crocodile,Shoeless Joe,The Haunting,Fearless,City of Light,Black Sunday,Hollywood,Memories of Midnight,The Ring,Seduced,The Tale of Peter Rabbit,Sudden Death,Fever Pitch,Message in a Bottle,Courting Trouble,Charlie and the Great Glass Elevator,The Great Train Robbery,Flashback,The Fountainhead,Recessional,The Whole Truth,Lord Jim,Room,The Mouse and the Motorcycle,The Bridges of Madison County,Smilla's Sense of Snow,Dominion,The Cave,Texas,Good Intentions,Entwined,Deadeye Dick,Le Cid,Journey to the Center of the Earth,The Rising,Atlas Shrugged,Something Happened,Kidnapped,Cloud Nine,In the Heart of the Sea: The Tragedy of the Whaleship Essex","5"
"Lolita","80"
"The Moneychangers,A Moveable Feast,Five Days in Paris,City,Villette,By Reason of Insanity,The Island of the Day Before,Out of Reach,The Red and the Black,The Andromeda Strain,The Seven Sisters,A Heart So White,Ubik,Mythologies,Blue Light,The Mistress,Joshua,The Conquest,Crocodile on the Sandbank,Tinker Tailor Soldier Spy,Bastard Out of Carolina,Rapunzel,Peachtree Road,The Wasp Factory,Portnoy's Complaint,Gates of Fire: An Epic Novel of the Battle of Thermopylae,Making Faces,True History of the Kelly Gang,Tales of Power,The Grand Sophy,Wildwood,Rite of Passage,The Growing Pains of Adrian Mole,Running Blind,Black Trillium,Four Blind Mice,Beguiled,Rich Man, Poor Man,Loves Music, Loves to Dance,The Brothers K,I Married a Communist,The Beach,Flawless,Spell Bound,My Cousin Rachel,In Pursuit of the Proper Sinner,The Princess Bride,Children of the Night,Cloudstreet,Winter's Tale,Endurance: Shackleton's Incredible Voyage,2nd Chance,Love Bites,Excellent Women,Thirsty,The Case for Faith: A Journalist Investigates the Toughest Objections to Christianity,Out of Nowhere,Domain,A Maggot,Mother of Pearl,Fault Lines,The Day of the Triffids,Greenmantle,A Caribbean Mystery,Promises to Keep,The Real Mother Goose,My Brother's Keeper,Hidden Riches,The Book of Lies,Tess of the d'Urbervilles,American Star,Naomi,A Woman of Substance,The Horse and His Boy,Harmful Intent,They Thirst,The Dark Room,Sweet Dreams,New Moon,Eon,Eva,All That Matters,Obasan,By Any Other Name,Time and Chance,Men at Arms,Julie of the Wolves,Against All Enemies,Max,Caribbean,Maneater,Portrait in Sepia,Danny the Champion of the World,At Risk,Money,Blood Oath,Turbulence,Love Medicine,The Stories of Eva Luna,Run,She,Ender's Game,Arena,To Have and to Hold,No Longer at Ease,Finn Family Moomintroll,Autobiography of a Face,You Belong to Me,Angle of Repose,Reaper Man,The October Country,The Solitaire Mystery,Lucifer's Hammer,Just Friends,Ghost,The Surgeon,Hourglass,Freefall,The Last Convertible,A Kingdom of Dreams,Vengeance,Running Scared,The Sirens of Titan,The Tale of Squirrel Nutkin,Debt of Honor,The Intruders,Black Spring,To Ride Pegasus,The Age of Innocence,Their Eyes Were Watching God,Tinker, Tailor, Soldier, Spy,If I Should Die Before I Wake,Blast from the Past,Think and Grow Rich,Fireflies,Half a Life,T2: Infiltrator,The Fever,Watermelon,The Long Walk,Blood and Chocolate,The Selfish Gene,Harold and the Purple Crayon,The Halloween Tree,The Curse of Chalion,Tales of Mystery and Imagination,Millroy the Magician,Illuminations,Blindsight,The Host,Primal Fear,Far from the Madding Crowd,Another Homecoming,Christy,Hunter,Queen of Hearts,The Road to Oz,Blood Will Tell,The Stone Diaries,Cold Comfort Farm,Casino Royale,A Walk Across America,All Our Yesterdays,Archer's Goon,First Love,Plum Island,Vortex,The Fire Within,Banker,The Negotiator,Chosen,Maximum Bob,Can You Keep a Secret?,Jumper,Lilith,A Small Death in Lisbon,Saving Faith,Utopia,Caught,Obsessed,Suzanne's Diary for Nicholas,Sir Gawain and the Green Knight,My Soul to Take,Fire on the Mountain,First Lady,Dirty Work,Love Letters,Altered Carbon,All the Queen's Men,Bless Me, Ultima,Marcovaldo,Moreta: Dragonlady of Pern,A Separate Peace,Battle Cry,Blindsighted,Horse Heaven,The Book of Disquiet,Shane,Hidden Talents,Stinger,Regeneration,Earth Abides,An Instance of the Fingerpost,Martin Chuzzlewit,Mr. Perfect,Hoot,Beaches,Hitler,Void Moon,Reborn,Inside Out,I, Robot,Lady of the Forest,Abandon,Autobiography of a Yogi,The Corrections,Rascal,Thirst,Mind Games,A Song for Arbonne,Cassidy,Dark of the Moon,Over My Dead Body,Only Love,Violets Are Blue,As a Man Thinketh,Devices and Desires,Permutation City,The King,East of the Sun,Coyote Waits,Oryx and Crake,Every Living Thing,The Sword in the Stone,The Magic Mountain,Famous Last Words,Dissolution,Loving God,Big Girls Don't Cry,Visions,Dr. Atkins' New Diet Revolution,The Loner,Nerve,Alaska,Five Little Peppers and How They Grew,The Wish List,The Sheltering Sky,Hotel,The Red Badge of Courage,La Metamorfosis,The Tao of Pooh,Three Junes,Glory Road,Heart of Gold,The Ghost Writer,Black Dogs,The Sight,Last Days of Summer,Poland,The Golden Notebook,Nothing Lasts Forever,Immortality,Tipping the Velvet,The Tale of Genji,Special Delivery,Excession,Goldilocks,Behind the Scenes at the Museum,Ritual,Relic,The Book of Spells,How the Mind Works,Jack,The Winter King,Cold Case,Messiah,Running Wild,Shade's Children,Pilgrim's Progress,Riddley Walker,The First Time,Enchantment,Baudolino,Summer Sisters,Long Lost,Glory,Seawitch,Ladder of Years,The Railway Children,Seventh Heaven,Freedom,The Piano Man's Daughter,Angel Falls,The Hostage,Earthly Powers,Time and Time Again,Mr. Popper's Penguins,Written on the Body,The Sisterhood of the Traveling Pants,Pagan Babies,The Bourne Ultimatum,The Epic of Gilgamesh,Postmortem,Wicked,Poppy,Angel Eyes,Stormbreaker,Strong Poison,Black Ice,Captured,A Bend in the River,The Memory Book,The Sleeping Beauty,Demian,Lady of Avalon,Silent Honor,Fair Game,Birthday Letters,Midnight in the Garden of Good and Evil,Walk Two Moons,Provenance,Creation,Tempest Rising,The Whipping Boy,Hooking Up,The Apprentice,The Black Cauldron,The Partner,Songbird,The Covenant,The Celestine Prophecy,We'll Meet Again,Countdown,Naked Lunch,Surrender,Dogsong,The Magic Circle,Her Father's House,Perdido Street Station,Plague,Paddy Clarke Ha Ha Ha,Remembering,Full Moon,Idoru,From This Day Forward,Sometimes a Great Notion,Watership Down,Superfudge,Disobedience,The Journey,Black Boy,The Little Mermaid,Taken by Storm,Devil Water,Toxin,Circle of Friends,The Caves of Steel,Annie John,A Walk to Remember,Armada,All the President's Men,Into the Woods,Scandalous,Thirteen,Seize the Night,Doctor Zhivago,Violin,The Book of the Dun Cow,Lady Oracle,After the Rain,Bloodlines,Weep No More, My Lady,The Clinic,The Richest Man in Babylon,I Know This Much Is True,Quest,Refugee,Five Children and It,Songmaster,The Snowman,Shades of Gray,Home Song,Congo,The Client,Clouds of Witness,If Nobody Speaks of Remarkable Things,Dear Emily,The Copper Beech,Omega,Cry of the Kalahari,Have His Carcase,Lost World,The Gambler,Winter Solstice,Black Sheep,The Blessing,American Pastoral,Chill Factor,Orlando,The Horse Whisperer,The Devil Rides Out,Foucault's Pendulum,Ghost Story,Extinction,Dead Run,Hexwood,The Sterkarm Handshake,Beasts,A Stranger in the Mirror,In My Father's House,How Stella Got Her Groove Back,Cancer Ward,Avenging Angel,A Prayer for Owen Meany,Cat on a Hot Tin Roof,The Inheritors,Maurice,The Girls' Guide to Hunting and Fishing,Shadow of the Moon,Six of One,The Cutting Room,Nightlife,Unspeakable,Body of Evidence,Just Ella,Darkness Before Dawn,Found Money,I Am Legend,Kingdom Come,Antigone,Infinity,Last Exit to Brooklyn,Vanity Fair,Bloom,Dragonworld,Proof,The Very Hungry Caterpillar,A Son of the Circus,Diplomatic Immunity,Killjoy,Twelfth Night,Nana,The Looking Glass War,The God of Small Things,The Bourne Supremacy,Sadako and the Thousand Paper Cranes,Confessions of a Shopaholic,2061: Odyssey Three,Bridget Jones: The Edge of Reason,French Kiss,Icefire,Nova,Find Me,The Book of Laughter and Forgetting,Prince of Dreams,Rum Punch,Jo's Boys,After the First Death,Ham on Rye,The Pact,The Judgment,Gingerbread,The Black Cat,Hocus Pocus,Life, the Universe and Everything,Breakfast of Champions,Stone Soup,Life After Death,Up a Road Slowly,The First Man in Rome,Aesop's Fables,The Night Watch,Practical Magic,The Moonstone,Flanagan's Run,Crave,Dune Messiah,Playing with Fire,Dragonflight,The Man Who Planted Trees,The Uncanny,Irresistible Forces,Interview with the Vampire,Charmed Life,Dying Inside,The Treatment,Little, Big,American Psycho,The Long Road Home,Feeling Good: The New Mood Therapy,The Glass Lake,On Fire,The Mark of the Assassin,This Side of Brightness,Cold Fire,We the Living,Death on the Nile,Exit to Eden,The Cygnet and the Firebird,A Thousand Acres,Seize the Day,The Last Detective,Separate Beds,Crossing the Threshold of Hope,Enigma,Dark Prince,Wild Swan,Tiger Eyes,A Place Called Freedom,Brothers in Arms,Grass,Executive Orders,The Seeing Stone,The Taming,Dreamer,Life Support,The King of Torts,Compulsion,Knowing God,Notre-Dame de Paris,Regency Buck,Possessions,Deceived,Perfect Timing,The Summons,The Mosquito Coast,Cloudy With a Chance of Meatballs,Singularity,The Waves,Down to a Sunless Sea,The Rainbow,Last Man Standing,Flight,Evening Class,Little House in the Big Woods,The Ties That Bind,Wide Open,Women,Less Than Zero,Queenie,Two Truths and a Lie,The Memoirs of Sherlock Holmes,Outrageous Acts and Everyday Rebellions,Look at Me,The Good Earth,Human Croquet,Armadillo,Pure,The Thief of Always,Possessing the Secret of Joy,The Christmas Train,King Rat,The Razor's Edge,Moonlight Becomes You,Sport,Caligula,Blood Music,Kiss the Girls,The Wild Road,I Heard the Owl Call My Name,The Reef,The Healer,The Exorcist,Dangerous to Know,The Prince of Tides,Why Me?,Trust No One,The Golden Bowl,Fairy Tales,Looking for Alibrandi,A Charmed Life,The Regulators,The Anatomy Lesson,Twenty Thousand Leagues Under the Sea,The Bride,Fantastic Mr. Fox,Summer of My German Soldier,The Eagle Has Landed,Tailchaser's Song,Into the Deep,Dark Visions,The House Next Door,The Novel,Phoenix,Martin Eden,New York,Ellen Foster,Under the Skin,Revolution,Chasing the Dime,Out of the Ashes,Unmasked,The Wonderful Story of Henry Sugar and Six More,Mrs. Mike,The Body,The Other Side of Midnight,Mistress,Alice,Red Shift,R Is for Rocket,Tortured for Christ,Alice's Adventures in Wonderland and Through the Looking Glass,Marilyn Monroe,Foreign Affairs,Pronto,Gideon,Tunnel Vision,Firefox,Looking for Alaska,Dark Star,The House of Mirth,The Invitation,A Week in Winter,Faeries,The Incredible Journey,Radiance,More Than You Know,Fallout,Desert Solitaire,Me Talk Pretty One Day,Heart of the Country,Decision at Doona,The Terminal Man,The Conqueror,Turnabout,Robin Hood,Bloomability,Snow White and Rose Red,Wise Child,Barchester Towers,Till Death Do Us Part,Collected Fictions,Witches Abroad,No Way Out,Future Shock,The Plague,Centennial,Once and Always,Salt: A World History,The Killing Kind,Dark Tide,Practical Demonkeeping,Deliver Us from Evil,The Cure,Mother,Bad Moon Rising,Chromosome 6,The Chancellor Manuscript,The Bronze Horseman,Biology,Sunrise,In Love and War,Aura,Charlotte Gray,Gaudy Night,Seizure,Rock Star,Between,Helter Skelter: The True Story of the Manson Murders,Balance of Power,The Glass Palace,The Marching Season,Showdown,Perfume: The Story of a Murderer,Baby,Bait,Gold Coast,The Road to Wellville,Philip Hall Likes Me. I Reckon Maybe.,With Love,Family Blessings,Tigana,The Gun Seller,A Widow for One Year,Guardian Angel,A Dangerous Woman,Swan Song,The Insider,Children of Dune,Comes the Blind Fury,Dirk Gently's Holistic Detective Agency,Where Angels Fear to Tread,The Falls,Hogfather,Believe,The Tombs of Atuan,The Indian in the Cupboard,The Jungle,The Secret of Chimneys,Lieutenant Hornblower,The Greatest Generation,Reflections,Frida,Letters to a Young Poet,A Short History of Nearly Everything,Barney's Version,Winter Rose,Naked Prey,Point of Impact,The Deep,Expanded Universe,The Deal,The Last Juror,Planet of the Apes,Timequake,The Locket,No Mercy,The Black Swan,Snow in August","4"
"Peter Pan","77"
"The Promise","72"
"Sanctuary,Animal Farm,Madame Bovary","70"
"Homecoming,Secrets","66"
"Selected Poems","378"
"Little Women","240"
"Jane Eyre","209"
"Pride and Prejudice","198"
"The Hobbit","156"
"1984","153"
"Fahrenheit 451,Legacy","143"
"The Gift","135"
"Wuthering Heights","126"
"Emma","120"
