"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorEqual record1Value","[0] BookTitleComparatorEqual record2Value","[0] BookTitleComparatorEqual record1PreprocessedValue","[0] BookTitleComparatorEqual record2PreprocessedValue","[0] BookTitleComparatorEqual similarity","[0] BookTitleComparatorEqual postproccesedSimilarity","[1] BookAuthorComparatorLevenshtein record1Value","[1] BookAuthorComparatorLevenshtein record2Value","[1] BookAuthorComparatorLevenshtein record1PreprocessedValue","[1] BookAuthorComparatorLevenshtein record2PreprocessedValue","[1] BookAuthorComparatorLevenshtein similarity","[1] BookAuthorComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","recommendation_105428","goodreads_53988","1.0",,"jo's boys","jo's boys","jo's boys","jo's boys","1.0","1.0","Louisa May Alcott","Louisa May Alcott","Louisa May Alcott","Louisa May Alcott","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_37096","goodreads_47934","0.5",,"devotion","devotion","devotion","devotion","1.0","1.0","Katherine Sutcliffe","Fiona Davenport","Katherine Sutcliffe","Fiona Davenport","0.10526315789473684","0.0"
"LinearCombinationMatchingRule","recommendation_4390","goodreads_36618","0.5",,"skin tight","skin tight","skin tight","skin tight","1.0","1.0","Carl Hiaasen","Ava Gray","Carl Hiaasen","Ava Gray","0.25","0.0"
"LinearCombinationMatchingRule","recommendation_6141","goodreads_4552","1.0",,"life and death in shanghai","life and death in shanghai","life and death in shanghai","life and death in shanghai","1.0","1.0","Nien Cheng","Nien Cheng","Nien Cheng","Nien Cheng","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_57350","goodreads_13503","0.5",,"soulmate","soulmate","soulmate","soulmate","1.0","1.0","Deepak Chopra","L.J. Smith","Deepak Chopra","L.J. Smith","0.07692307692307687","0.0"
"LinearCombinationMatchingRule","recommendation_139639","goodreads_41903","1.0",,"anne of green gables","anne of green gables","anne of green gables","anne of green gables","1.0","1.0","Lucy Maud Montgomery","L.M. Montgomery","Lucy Maud Montgomery","L.M. Montgomery","0.65","1.0"
"LinearCombinationMatchingRule","recommendation_119539","goodreads_53470","1.0",,"searching for david's heart: a christmas story","searching for david's heart: a christmas story","searching for david's heart: a christmas story","searching for david's heart: a christmas story","1.0","1.0","Cherie Bennett","Cherie Bennett","Cherie Bennett","Cherie Bennett","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_52725","goodreads_21750","1.0",,"pride and prejudice","pride and prejudice","pride and prejudice","pride and prejudice","1.0","1.0","Jane Austen","Jane Austen","Jane Austen","Jane Austen","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_223628","goodreads_8801","0.5",,"closer","closer","closer","closer","1.0","1.0","Dennis Cooper","Patrick Marber","Dennis Cooper","Patrick Marber","0.2857142857142857","0.0"
"LinearCombinationMatchingRule","recommendation_264764","goodreads_53995","1.0",,"the tale of mrs. tittlemouse","the tale of mrs. tittlemouse","the tale of mrs. tittlemouse","the tale of mrs. tittlemouse","1.0","1.0","Beatrix Potter","Beatrix Potter","Beatrix Potter","Beatrix Potter","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_227675","goodreads_42661","1.0",,"the flood-tide","the flood-tide","the flood-tide","the flood-tide","1.0","1.0","Cynthia Harrod-Eagles","Cynthia Harrod-Eagles","Cynthia Harrod-Eagles","Cynthia Harrod-Eagles","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_121319","goodreads_39194","0.5",,"the legacy","the legacy","the legacy","the legacy","1.0","1.0","Stephen W. Frey","Gemma Malley","Stephen W. Frey","Gemma Malley","0.2666666666666667","0.0"
"LinearCombinationMatchingRule","recommendation_1208","goodreads_33520","1.0",,"neverwhere","neverwhere","neverwhere","neverwhere","1.0","1.0","Neil Gaiman","Neil Gaiman","Neil Gaiman","Neil Gaiman","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_256672","goodreads_49371","0.5",,"fate","fate","fate","fate","1.0","1.0","Mary Jane","Amanda Hocking","Mary Jane","Amanda Hocking","0.2857142857142857","0.0"
"LinearCombinationMatchingRule","recommendation_24222","goodreads_4","1.0",,"pride and prejudice","pride and prejudice","pride and prejudice","pride and prejudice","1.0","1.0","Jane Austen","Jane Austen","Jane Austen","Jane Austen","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_264404","goodreads_8801","0.5",,"closer","closer","closer","closer","1.0","1.0","Dennis Cooper","Patrick Marber","Dennis Cooper","Patrick Marber","0.2857142857142857","0.0"
"LinearCombinationMatchingRule","recommendation_72354","goodreads_41886","1.0",,"the hound of the baskervilles","the hound of the baskervilles","the hound of the baskervilles","the hound of the baskervilles","1.0","1.0","Sir Arthur Conan Doyle","Arthur Conan Doyle","Sir Arthur Conan Doyle","Arthur Conan Doyle","0.8181818181818181","1.0"
"LinearCombinationMatchingRule","recommendation_4021","goodreads_2182","1.0",,"circle of friends","circle of friends","circle of friends","circle of friends","1.0","1.0","Maeve Binchy","Maeve Binchy","Maeve Binchy","Maeve Binchy","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_109342","goodreads_44368","1.0",,"carver: a life in poems","carver: a life in poems","carver: a life in poems","carver: a life in poems","1.0","1.0","Marilyn Nelson","Marilyn Nelson","Marilyn Nelson","Marilyn Nelson","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_240426","goodreads_28203","1.0",,"excellent women","excellent women","excellent women","excellent women","1.0","1.0","Barbara Pym","Barbara Pym","Barbara Pym","Barbara Pym","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_28577","goodreads_9101","1.0",,"howl's moving castle","howl's moving castle","howl's moving castle","howl's moving castle","1.0","1.0","Diana Wynne Jones","Diana Wynne Jones","Diana Wynne Jones","Diana Wynne Jones","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_199750","goodreads_164","1.0",,"the three musketeers","the three musketeers","the three musketeers","the three musketeers","1.0","1.0","Alexandre Dumas","Alexandre Dumas","Alexandre Dumas","Alexandre Dumas","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_8371","goodreads_22703","0.5",,"snowfall","snowfall","snowfall","snowfall","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0"
"LinearCombinationMatchingRule","recommendation_169252","goodreads_37610","0.5",,"remembrance","remembrance","remembrance","remembrance","1.0","1.0","Jo-Ann Power","Theresa Breslin","Jo-Ann Power","Theresa Breslin","0.06666666666666665","0.0"
"LinearCombinationMatchingRule","recommendation_10144","goodreads_8960","0.5",,"bloodline","bloodline","bloodline","bloodline","1.0","1.0","Sidney Sheldon","James Rollins","Sidney Sheldon","James Rollins","0.2142857142857143","0.0"
"LinearCombinationMatchingRule","recommendation_253168","goodreads_52929","0.5",,"pocahontas","pocahontas","pocahontas","pocahontas","1.0","1.0","Ingri D'Aulaire","Walt Disney Company","Ingri D'Aulaire","Walt Disney Company","0.052631578947368474","0.0"
"LinearCombinationMatchingRule","recommendation_113267","goodreads_6302","1.0",,"dune","dune","dune","dune","1.0","1.0","Frank Herbert","Frank Herbert","Frank Herbert","Frank Herbert","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_40759","goodreads_2572","1.0",,"the book of laughter and forgetting","the book of laughter and forgetting","the book of laughter and forgetting","the book of laughter and forgetting","1.0","1.0","Milan Kundera","Milan Kundera","Milan Kundera","Milan Kundera","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_45637","goodreads_7535","1.0",,"fool on the hill","fool on the hill","fool on the hill","fool on the hill","1.0","1.0","Matt Ruff","Matt Ruff","Matt Ruff","Matt Ruff","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_41309","goodreads_38786","0.5",,"selected poems","selected poems","selected poems","selected poems","1.0","1.0","Rita Dove","Kenneth Rexroth","Rita Dove","Kenneth Rexroth","0.19999999999999996","0.0"
"LinearCombinationMatchingRule","recommendation_238876","goodreads_1794","0.5",,"the end","the end","the end","the end","1.0","1.0","Carole S. Smith","Lemony Snicket","Carole S. Smith","Lemony Snicket","0.2666666666666667","0.0"
"LinearCombinationMatchingRule","recommendation_93875","goodreads_8398","1.0",,"ramona quimby, age 8","ramona quimby, age 8","ramona quimby, age 8","ramona quimby, age 8","1.0","1.0","Beverly Cleary","Beverly Cleary","Beverly Cleary","Beverly Cleary","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_124013","goodreads_51027","1.0",,"the godfather","the godfather","the godfather","the godfather","1.0","1.0","Mario Puzo","Mario Puzo","Mario Puzo","Mario Puzo","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_38069","goodreads_4793","1.0",,"the unconsoled","the unconsoled","the unconsoled","the unconsoled","1.0","1.0","Kazuo Ishiguro","Kazuo Ishiguro","Kazuo Ishiguro","Kazuo Ishiguro","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_71286","goodreads_51240","0.5",,"second sight","second sight","second sight","second sight","1.0","1.0","Robert V. Hine","Amanda Quick","Robert V. Hine","Amanda Quick","0.1428571428571429","0.0"
"LinearCombinationMatchingRule","recommendation_225065","goodreads_18817","1.0",,"neuromancer","neuromancer","neuromancer","neuromancer","1.0","1.0","William Gibson","William Gibson","William Gibson","William Gibson","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_27088","goodreads_16039","1.0",,"cradle and all","cradle and all","cradle and all","cradle and all","1.0","1.0","James Patterson","James Patterson","James Patterson","James Patterson","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_92423","goodreads_40784","0.5",,"christopher","christopher","christopher","christopher","1.0","1.0","Richard M. Koff","David Athey","Richard M. Koff","David Athey","0.1333333333333333","0.0"
"LinearCombinationMatchingRule","recommendation_128665","goodreads_2159","1.0",,"children of the mind","children of the mind","children of the mind","children of the mind","1.0","1.0","Orson Scott Card","Orson Scott Card","Orson Scott Card","Orson Scott Card","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_133216","goodreads_13521","1.0",,"mrs. mcginty's dead","mrs. mcginty's dead","mrs. mcginty's dead","mrs. mcginty's dead","1.0","1.0","Agatha Christie","Agatha Christie","Agatha Christie","Agatha Christie","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_4323","goodreads_1031","1.0",,"the accidental tourist","the accidental tourist","the accidental tourist","the accidental tourist","1.0","1.0","Anne Tyler","Anne Tyler","Anne Tyler","Anne Tyler","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_30466","goodreads_23752","1.0",,"the two towers","the two towers","the two towers","the two towers","1.0","1.0","J. R. R. Tolkien","J.R.R. Tolkien","J. R. R. Tolkien","J.R.R. Tolkien","0.875","1.0"
"LinearCombinationMatchingRule","recommendation_202413","goodreads_51144","0.5",,"selected poems","selected poems","selected poems","selected poems","1.0","1.0","Daniel Halpern","Rabindranath Tagore","Daniel Halpern","Rabindranath Tagore","0.26315789473684215","0.0"
"LinearCombinationMatchingRule","recommendation_98590","goodreads_46851","0.5",,"heat","heat","heat","heat","1.0","1.0","William Goldman","Penny Reid","William Goldman","Penny Reid","0.1333333333333333","0.0"
"LinearCombinationMatchingRule","recommendation_98693","goodreads_488","1.0",,"voyager","voyager","voyager","voyager","1.0","1.0","DIANA GABALDON","Diana Gabaldon","DIANA GABALDON","Diana Gabaldon","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_62110","goodreads_330","0.5",,"stardust","stardust","stardust","stardust","1.0","1.0","Robert B. Parker","Neil Gaiman","Robert B. Parker","Neil Gaiman","0.1875","0.0"
"LinearCombinationMatchingRule","recommendation_127137","goodreads_31600","1.0",,"blue belle","blue belle","blue belle","blue belle","1.0","1.0","Andrew H. Vachss","Andrew Vachss","Andrew H. Vachss","Andrew Vachss","0.8125","1.0"
"LinearCombinationMatchingRule","recommendation_206988","goodreads_20803","0.5",,"autumn rose","autumn rose","autumn rose","autumn rose","1.0","1.0","Linda Windsor","Abigail Gibbs","Linda Windsor","Abigail Gibbs","0.15384615384615385","0.0"
"LinearCombinationMatchingRule","recommendation_2609","goodreads_1243","1.0",,"north and south","north and south","north and south","north and south","1.0","1.0","John Jakes","John Jakes","John Jakes","John Jakes","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_14471","goodreads_5515","1.0",,"chicken soup for the soul","chicken soup for the soul","chicken soup for the soul","chicken soup for the soul","1.0","1.0","Jack Canfield","Jack Canfield","Jack Canfield","Jack Canfield","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_203111","goodreads_3457","1.0",,"pride and prejudice","pride and prejudice","pride and prejudice","pride and prejudice","1.0","1.0","Jane Austen","Jane Austen","Jane Austen","Jane Austen","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_199878","goodreads_29648","1.0",,"christ in concrete","christ in concrete","christ in concrete","christ in concrete","1.0","1.0","Pietro Di Donato","Pietro Di Donato","Pietro Di Donato","Pietro Di Donato","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_63323","goodreads_44990","1.0",,"murder on the orient express","murder on the orient express","murder on the orient express","murder on the orient express","1.0","1.0","Agatha Christie","Agatha Christie","Agatha Christie","Agatha Christie","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_177882","goodreads_8985","0.5",,"the return","the return","the return","the return","1.0","1.0","Mike Evans","Jennifer L. Armentrout","Mike Evans","Jennifer L. Armentrout","0.2272727272727273","0.0"
"LinearCombinationMatchingRule","recommendation_213831","goodreads_4531","1.0",,"the time traveler's wife","the time traveler's wife","the time traveler's wife","the time traveler's wife","1.0","1.0","Audrey Niffenegger","Audrey Niffenegger","Audrey Niffenegger","Audrey Niffenegger","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_67093","goodreads_517","1.0",,"the war of the worlds","the war of the worlds","the war of the worlds","the war of the worlds","1.0","1.0","H. G. Wells","H.G. Wells","H. G. Wells","H.G. Wells","0.9090909090909091","1.0"
"LinearCombinationMatchingRule","recommendation_99325","goodreads_39637","0.5",,"out of the dark","out of the dark","out of the dark","out of the dark","1.0","1.0","Betty Ren Wright","Quinn Loftis","Betty Ren Wright","Quinn Loftis","0.125","0.0"
"LinearCombinationMatchingRule","recommendation_11881","goodreads_7728","1.0",,"the black swan","the black swan","the black swan","the black swan","1.0","1.0","Mercedes Lackey","Mercedes Lackey","Mercedes Lackey","Mercedes Lackey","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_9751","goodreads_614","1.0",,"foucault's pendulum","foucault's pendulum","foucault's pendulum","foucault's pendulum","1.0","1.0","Umberto Eco","Umberto Eco","Umberto Eco","Umberto Eco","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_261252","goodreads_33734","0.5",,"never let me go","never let me go","never let me go","never let me go","1.0","1.0","Tim Kincaid","Kazuo Ishiguro","Tim Kincaid","Kazuo Ishiguro","0.0714285714285714","0.0"
"LinearCombinationMatchingRule","recommendation_36997","goodreads_33421","1.0",,"the golden bough","the golden bough","the golden bough","the golden bough","1.0","1.0","James G. Frazer","James George Frazer","James G. Frazer","James George Frazer","0.736842105263158","1.0"
"LinearCombinationMatchingRule","recommendation_123297","goodreads_5491","0.5",,"mariana","mariana","mariana","mariana","1.0","1.0","Katherine Vaz","Susanna Kearsley","Katherine Vaz","Susanna Kearsley","0.0625","0.0"
"LinearCombinationMatchingRule","recommendation_49425","goodreads_14535","1.0",,"the bat","the bat","the bat","the bat","1.0","1.0","Mary Roberts Rinehart","Mary Roberts Rinehart","Mary Roberts Rinehart","Mary Roberts Rinehart","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_235651","goodreads_12539","0.5",,"redemption","redemption","redemption","redemption","1.0","1.0","Annee Cartier","Karen Kingsbury","Annee Cartier","Karen Kingsbury","0.19999999999999996","0.0"
"LinearCombinationMatchingRule","recommendation_47230","goodreads_45103","0.5",,"shades of gray","shades of gray","shades of gray","shades of gray","1.0","1.0","Vicki Hinze","Maya Banks","Vicki Hinze","Maya Banks","0.18181818181818177","0.0"
"LinearCombinationMatchingRule","recommendation_53204","goodreads_51773","1.0",,"mansfield park","mansfield park","mansfield park","mansfield park","1.0","1.0","Jane Austen","Jane Austen","Jane Austen","Jane Austen","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_91493","goodreads_40363","1.0",,"the legend of sleepy hollow","the legend of sleepy hollow","the legend of sleepy hollow","the legend of sleepy hollow","1.0","1.0","Washington Irving","Washington Irving","Washington Irving","Washington Irving","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_58798","goodreads_52062","1.0",,"the old priory","the old priory","the old priory","the old priory","1.0","1.0","Norah Lofts","Norah Lofts","Norah Lofts","Norah Lofts","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_148213","goodreads_13097","0.5",,"now you see her","now you see her","now you see her","now you see her","1.0","1.0","Linda Howard","James Patterson","Linda Howard","James Patterson","0.1333333333333333","0.0"
