id_recommendation,id_goodreads,value
recommendation_53303,goodreads_33536,1
recommendation_24593,goodreads_11937,1
recommendation_198737,goodreads_277,1
recommendation_199878,goodreads_29648,1
recommendation_5474,goodreads_21535,1
recommendation_98693,goodreads_488,1
recommendation_146108,goodreads_9522,1
recommendation_16014,goodreads_30159,1
recommendation_147389,goodreads_38252,1
recommendation_156583,goodreads_29816,1
recommendation_4161,goodreads_64,1
recommendation_136511,goodreads_5306,1
recommendation_170363,goodreads_45233,1
recommendation_120534,goodreads_922,1
recommendation_206812,goodreads_24380,1
recommendation_49832,goodreads_1448,1
recommendation_63539,goodreads_27041,1
recommendation_138764,goodreads_52065,1
recommendation_33815,goodreads_29585,1
recommendation_152509,goodreads_9574,1
recommendation_60240,goodreads_31784,1
recommendation_13942,goodreads_28924,1
recommendation_146345,goodreads_45606,1
recommendation_62502,goodreads_41961,1
recommendation_33392,goodreads_21853,1
recommendation_39750,goodreads_2776,1
recommendation_140996,goodreads_29801,1
recommendation_221821,goodreads_29922,1
recommendation_9379,goodreads_333,1
recommendation_181137,goodreads_13654,1
recommendation_59130,goodreads_33856,1
recommendation_199750,goodreads_164,1
recommendation_228290,goodreads_51204,1
recommendation_21321,goodreads_27301,1
recommendation_92474,goodreads_43637,1
recommendation_206825,goodreads_9313,1
recommendation_10892,goodreads_2158,1
recommendation_20908,goodreads_52713,1
recommendation_11569,goodreads_53269,1
recommendation_52725,goodreads_21750,1
recommendation_91026,goodreads_1231,1
recommendation_36069,goodreads_18803,1
recommendation_110353,goodreads_31103,1
recommendation_8003,goodreads_19297,1
recommendation_2367,goodreads_273,1
recommendation_10792,goodreads_805,1
recommendation_122014,goodreads_41200,1
recommendation_150571,goodreads_8823,1
recommendation_3804,goodreads_1457,1
recommendation_20202,goodreads_1123,1
recommendation_95783,goodreads_38511,1
recommendation_53610,goodreads_45328,1
recommendation_133411,goodreads_47606,1
recommendation_209546,goodreads_2365,1
recommendation_59774,goodreads_10840,1
recommendation_115103,goodreads_19524,1
recommendation_139639,goodreads_41903,1
recommendation_56931,goodreads_2529,1
recommendation_7007,goodreads_9361,1
recommendation_1176,goodreads_140,1
recommendation_185179,goodreads_12172,1
recommendation_227246,goodreads_31204,1
recommendation_232584,goodreads_8094,1
recommendation_35938,goodreads_362,1
recommendation_71119,goodreads_2399,1
recommendation_223746,goodreads_1381,1
recommendation_52919,goodreads_38741,1
recommendation_18479,goodreads_41440,1
recommendation_6522,goodreads_22117,1
recommendation_15498,goodreads_28256,1
recommendation_99271,goodreads_34830,1
recommendation_109706,goodreads_26257,1
recommendation_44556,goodreads_44718,1
recommendation_215414,goodreads_5695,1
recommendation_3896,goodreads_866,1
recommendation_221496,goodreads_16263,1
recommendation_4974,goodreads_7898,1
recommendation_4935,goodreads_38576,1
recommendation_234570,goodreads_51,1
recommendation_30547,goodreads_3027,1
recommendation_23135,goodreads_39780,1
recommendation_214723,goodreads_34799,1
recommendation_79691,goodreads_1594,1
recommendation_246648,goodreads_4380,1
recommendation_43029,goodreads_42150,1
recommendation_78951,goodreads_7073,1
recommendation_167,goodreads_319,1
recommendation_141735,goodreads_30776,1
recommendation_180425,goodreads_51656,1
recommendation_178732,goodreads_10814,1
recommendation_91493,goodreads_40363,1
recommendation_13232,goodreads_2058,1
recommendation_2784,goodreads_14039,1
recommendation_55055,goodreads_30236,1
recommendation_50319,goodreads_31247,1
recommendation_15606,goodreads_29797,1
recommendation_100681,goodreads_21918,1
recommendation_105587,goodreads_2359,1
recommendation_152988,goodreads_30169,1
recommendation_63318,goodreads_6067,1
recommendation_118463,goodreads_2187,1
recommendation_105294,goodreads_9114,1
recommendation_6141,goodreads_4552,1
recommendation_166635,goodreads_51867,1
recommendation_21405,goodreads_35758,1
recommendation_50918,goodreads_37949,1
recommendation_91738,goodreads_5549,1
recommendation_59784,goodreads_10344,1
recommendation_1775,goodreads_7191,1
recommendation_105538,goodreads_46655,1
recommendation_43799,goodreads_45395,1
recommendation_75599,goodreads_31458,1
recommendation_119539,goodreads_53470,1
recommendation_102115,goodreads_1888,1
recommendation_2652,goodreads_307,1
recommendation_141253,goodreads_14491,1
recommendation_171287,goodreads_9776,1
recommendation_33392,goodreads_42413,1
recommendation_43775,goodreads_37007,1
recommendation_84626,goodreads_33762,1
recommendation_267444,goodreads_20338,1
recommendation_177781,goodreads_30131,1
recommendation_192077,goodreads_3994,1
recommendation_29943,goodreads_3491,1
recommendation_176859,goodreads_4003,1
recommendation_221832,goodreads_39980,1
recommendation_206643,goodreads_8513,1
recommendation_14657,goodreads_52943,1
recommendation_137521,goodreads_43711,1
recommendation_64142,goodreads_39477,1
recommendation_104204,goodreads_41149,1
recommendation_116028,goodreads_17012,1
recommendation_203367,goodreads_13434,1
recommendation_189427,goodreads_26350,1
recommendation_38069,goodreads_4793,1
recommendation_63403,goodreads_36553,1
recommendation_105422,goodreads_628,1
recommendation_10329,goodreads_41587,1
recommendation_160155,goodreads_42165,1
recommendation_55226,goodreads_30094,1
recommendation_82414,goodreads_149,1
recommendation_87623,goodreads_31403,1
recommendation_25675,goodreads_25859,1
recommendation_49425,goodreads_14535,1
recommendation_6745,goodreads_3457,1
recommendation_8227,goodreads_32305,1
recommendation_79024,goodreads_13630,1
recommendation_80019,goodreads_21423,1
recommendation_213032,goodreads_1231,1
recommendation_105580,goodreads_38512,1
recommendation_78082,goodreads_5763,1
recommendation_184867,goodreads_15948,1
recommendation_82533,goodreads_54169,1
recommendation_15160,goodreads_31444,1
recommendation_219138,goodreads_40283,1
recommendation_198697,goodreads_26708,1
recommendation_122988,goodreads_46615,1
recommendation_220755,goodreads_34128,1
recommendation_85420,goodreads_279,1
recommendation_185003,goodreads_28516,1
recommendation_101854,goodreads_28042,1
recommendation_172109,goodreads_51891,1
recommendation_5428,goodreads_36845,1
recommendation_134129,goodreads_45537,1
recommendation_35222,goodreads_4805,1
recommendation_63655,goodreads_39757,1
recommendation_203111,goodreads_3457,1
recommendation_3916,goodreads_1277,1
recommendation_24222,goodreads_4,1
recommendation_43369,goodreads_676,1
recommendation_194890,goodreads_1120,1
recommendation_1641,goodreads_1837,1
recommendation_58134,goodreads_954,1
recommendation_3324,goodreads_39134,1
recommendation_77250,goodreads_1523,1
recommendation_12225,goodreads_42827,1
recommendation_225065,goodreads_18817,1
recommendation_114850,goodreads_42925,1
recommendation_19444,goodreads_26397,1
recommendation_69842,goodreads_1135,1
recommendation_193392,goodreads_53835,1
recommendation_167047,goodreads_7304,1
recommendation_18000,goodreads_44,1
recommendation_106706,goodreads_60,1
recommendation_109342,goodreads_44368,1
recommendation_147885,goodreads_50542,1
recommendation_71030,goodreads_12085,1
recommendation_82679,goodreads_3587,1
recommendation_722,goodreads_22618,1
recommendation_212664,goodreads_44378,1
recommendation_176639,goodreads_18728,1
recommendation_87466,goodreads_536,1
recommendation_63323,goodreads_44990,1
recommendation_268074,goodreads_1167,1
recommendation_231000,goodreads_44112,1
recommendation_78892,goodreads_12993,1
recommendation_38772,goodreads_31517,1
recommendation_240539,goodreads_19845,1
recommendation_411,goodreads_2219,1
recommendation_13721,goodreads_32731,1
recommendation_244474,goodreads_43713,1
recommendation_189872,goodreads_1823,1
recommendation_2609,goodreads_1243,1
recommendation_184461,goodreads_37817,1
recommendation_14202,goodreads_13460,1
recommendation_136526,goodreads_26377,1
recommendation_180128,goodreads_401,1
recommendation_17537,goodreads_53703,1
recommendation_134469,goodreads_31665,1
recommendation_55602,goodreads_24304,1
recommendation_93347,goodreads_40376,1
recommendation_64507,goodreads_13822,1
recommendation_35684,goodreads_41096,1
recommendation_24030,goodreads_7215,1
recommendation_5178,goodreads_26062,1
recommendation_19988,goodreads_13327,1
recommendation_43636,goodreads_1366,1
recommendation_22966,goodreads_12,1
recommendation_219645,goodreads_52421,1
recommendation_183444,goodreads_3982,1
recommendation_115827,goodreads_39164,1
recommendation_148986,goodreads_4374,1
recommendation_211792,goodreads_33805,1
recommendation_29640,goodreads_29656,1
recommendation_2481,goodreads_12743,1
recommendation_91382,goodreads_18089,1
recommendation_96697,goodreads_26699,1
recommendation_16782,goodreads_38705,1
recommendation_109475,goodreads_43953,1
recommendation_40854,goodreads_46096,1
recommendation_62812,goodreads_33701,1
recommendation_15107,goodreads_21785,1
recommendation_80396,goodreads_53183,1
recommendation_10568,goodreads_8862,1
recommendation_70918,goodreads_33801,1
recommendation_26749,goodreads_51709,1
recommendation_39576,goodreads_9487,1
recommendation_82148,goodreads_495,1
recommendation_229139,goodreads_46677,1
recommendation_213277,goodreads_146,1
recommendation_4249,goodreads_8896,1
recommendation_67093,goodreads_517,1
recommendation_80108,goodreads_53618,1
recommendation_1496,goodreads_822,1
recommendation_197099,goodreads_2854,1
recommendation_108532,goodreads_14918,1
recommendation_169579,goodreads_8578,1
recommendation_173680,goodreads_10972,1
recommendation_8494,goodreads_32647,1
recommendation_9868,goodreads_51694,1
recommendation_240426,goodreads_28203,1
recommendation_74077,goodreads_30174,1
recommendation_142906,goodreads_14874,1
recommendation_139774,goodreads_4131,1
recommendation_517,goodreads_553,1
recommendation_211835,goodreads_14,1
recommendation_25239,goodreads_9554,1
recommendation_164720,goodreads_34529,1
recommendation_173331,goodreads_53946,1
recommendation_8798,goodreads_40948,1
recommendation_58175,goodreads_39807,1
recommendation_148463,goodreads_193,1
recommendation_185211,goodreads_52034,1
recommendation_32390,goodreads_38885,1
recommendation_196251,goodreads_830,1
recommendation_715,goodreads_4531,1
recommendation_240127,goodreads_3582,1
recommendation_237641,goodreads_6450,1
recommendation_18467,goodreads_48316,1
recommendation_233744,goodreads_50381,1
recommendation_71363,goodreads_1020,1
recommendation_37015,goodreads_409,1
recommendation_134255,goodreads_11094,1
recommendation_10257,goodreads_6893,1
recommendation_48480,goodreads_28565,1
recommendation_90661,goodreads_19631,1
recommendation_214782,goodreads_30115,1
recommendation_4323,goodreads_1031,1
recommendation_243067,goodreads_43558,1
recommendation_10074,goodreads_47802,1
recommendation_9532,goodreads_48331,1
recommendation_97494,goodreads_27951,1
recommendation_14024,goodreads_15448,1
recommendation_1535,goodreads_28496,1
recommendation_13194,goodreads_41440,1
recommendation_17418,goodreads_44367,1
recommendation_168116,goodreads_10199,1
recommendation_53585,goodreads_36856,1
recommendation_173484,goodreads_29759,1
recommendation_209435,goodreads_14702,1
recommendation_115442,goodreads_24441,1
recommendation_28577,goodreads_282,1
recommendation_20578,goodreads_22215,1
recommendation_124013,goodreads_51027,1
recommendation_71195,goodreads_117,1
recommendation_17406,goodreads_3813,1
recommendation_141460,goodreads_40806,1
recommendation_12003,goodreads_3757,1
recommendation_109632,goodreads_8663,1
recommendation_564,goodreads_50789,1
recommendation_91496,goodreads_9215,1
recommendation_54529,goodreads_3678,1
recommendation_130248,goodreads_42497,1
recommendation_83395,goodreads_37140,1
recommendation_116078,goodreads_8857,1
recommendation_43085,goodreads_2480,1
recommendation_91118,goodreads_2624,1
recommendation_151290,goodreads_45681,1
recommendation_22767,goodreads_22675,1
recommendation_11881,goodreads_7728,1
recommendation_1737,goodreads_32677,1
recommendation_145913,goodreads_36974,1
recommendation_213831,goodreads_4531,1
recommendation_166635,goodreads_32447,1
recommendation_5760,goodreads_10337,1
recommendation_5553,goodreads_42909,1
recommendation_141520,goodreads_4397,1
recommendation_229822,goodreads_7770,1
recommendation_225934,goodreads_48546,1
recommendation_10437,goodreads_11281,1
recommendation_146183,goodreads_4342,1
recommendation_130302,goodreads_174,1
recommendation_121628,goodreads_307,1
recommendation_221673,goodreads_15755,1
recommendation_2912,goodreads_29614,1
recommendation_97732,goodreads_50165,1
recommendation_82317,goodreads_44752,1
recommendation_20657,goodreads_854,1
recommendation_45135,goodreads_36060,1
recommendation_1613,goodreads_13362,1
recommendation_42867,goodreads_1069,1
recommendation_97044,goodreads_41126,1
recommendation_109454,goodreads_20886,1
recommendation_15433,goodreads_2113,1
recommendation_13667,goodreads_40888,1
recommendation_190970,goodreads_8586,1
recommendation_58798,goodreads_52062,1
recommendation_12839,goodreads_24092,1
recommendation_151401,goodreads_15121,1
recommendation_79020,goodreads_161,1
recommendation_133216,goodreads_13521,1
recommendation_3417,goodreads_28256,1
recommendation_13466,goodreads_1479,1
recommendation_124814,goodreads_19070,1
recommendation_159479,goodreads_7002,1
recommendation_238146,goodreads_11926,1
recommendation_144264,goodreads_51867,1
recommendation_56200,goodreads_2872,1
recommendation_264775,goodreads_41527,1
recommendation_72354,goodreads_41886,1
recommendation_127229,goodreads_19946,1
recommendation_137320,goodreads_8542,1
recommendation_99074,goodreads_2340,1
recommendation_191387,goodreads_15747,1
recommendation_4021,goodreads_2182,1
recommendation_118432,goodreads_187,1
recommendation_241241,goodreads_2219,1
recommendation_51498,goodreads_39548,1
recommendation_78572,goodreads_22034,1
recommendation_53990,goodreads_14429,1
recommendation_207039,goodreads_45659,1
recommendation_42627,goodreads_15478,1
recommendation_2433,goodreads_52132,1
recommendation_5374,goodreads_472,1
recommendation_122988,goodreads_48727,1
recommendation_135431,goodreads_1562,1
recommendation_6513,goodreads_24148,1
recommendation_13081,goodreads_28708,1
recommendation_15882,goodreads_1168,1
recommendation_9365,goodreads_21582,1
recommendation_162440,goodreads_258,1
recommendation_32040,goodreads_26961,1
recommendation_24474,goodreads_1878,1
recommendation_96694,goodreads_35470,1
recommendation_149768,goodreads_32441,1
recommendation_100681,goodreads_32305,1
recommendation_15069,goodreads_38539,1
recommendation_128947,goodreads_40879,1
recommendation_74498,goodreads_34095,1
recommendation_158829,goodreads_51985,1
recommendation_122915,goodreads_3544,1
recommendation_235344,goodreads_39752,1
recommendation_44767,goodreads_24521,1
recommendation_55152,goodreads_34200,1
recommendation_129349,goodreads_15928,1
recommendation_36997,goodreads_33421,1
recommendation_155775,goodreads_34989,1
recommendation_23841,goodreads_350,1
recommendation_42531,goodreads_37147,1
recommendation_16423,goodreads_37376,1
recommendation_9344,goodreads_31260,1
recommendation_200165,goodreads_234,1
recommendation_139190,goodreads_87,1
recommendation_85748,goodreads_50213,1
recommendation_44787,goodreads_515,1
recommendation_357,goodreads_26397,1
recommendation_15005,goodreads_4737,1
recommendation_54167,goodreads_30363,1
recommendation_6547,goodreads_50255,1
recommendation_95396,goodreads_28168,1
recommendation_89360,goodreads_31343,1
recommendation_3502,goodreads_4574,1
recommendation_243152,goodreads_11357,1
recommendation_10302,goodreads_8739,1
recommendation_3357,goodreads_22034,1
recommendation_245005,goodreads_28354,1
recommendation_69235,goodreads_13988,1
recommendation_263161,goodreads_47184,1
recommendation_37537,goodreads_45923,1
recommendation_60595,goodreads_39340,1
recommendation_4518,goodreads_4728,1
recommendation_137244,goodreads_632,1
recommendation_209516,goodreads_34576,1
recommendation_67686,goodreads_38807,1
recommendation_15440,goodreads_1532,1
recommendation_120426,goodreads_47546,1
recommendation_25193,goodreads_3245,1
recommendation_187668,goodreads_23898,1
recommendation_11645,goodreads_2807,1
recommendation_3540,goodreads_39302,1
recommendation_7772,goodreads_8146,1
recommendation_197107,goodreads_16562,1
recommendation_43759,goodreads_24441,1
recommendation_232,goodreads_226,1
recommendation_17872,goodreads_499,1
recommendation_2022,goodreads_520,1
recommendation_28577,goodreads_9101,1
recommendation_60317,goodreads_26190,1
recommendation_193615,goodreads_51292,1
recommendation_7044,goodreads_38311,1
recommendation_100326,goodreads_4992,1
recommendation_195466,goodreads_36376,1
recommendation_238322,goodreads_12346,1
recommendation_74507,goodreads_43157,1
recommendation_8227,goodreads_21918,1
recommendation_180,goodreads_35512,1
recommendation_98431,goodreads_91,1
recommendation_164767,goodreads_5207,1
recommendation_212456,goodreads_45885,1
recommendation_2436,goodreads_15738,1
recommendation_1208,goodreads_33520,1
recommendation_70443,goodreads_14747,1
recommendation_42471,goodreads_25913,1
recommendation_32640,goodreads_48367,1
recommendation_53189,goodreads_49777,1
recommendation_45866,goodreads_3032,1
recommendation_15062,goodreads_11315,1
recommendation_70162,goodreads_9321,1
recommendation_148493,goodreads_5290,1
recommendation_53189,goodreads_107,1
recommendation_60246,goodreads_26340,1
recommendation_128665,goodreads_2159,1
recommendation_37951,goodreads_1637,1
recommendation_4818,goodreads_10523,1
recommendation_226454,goodreads_51338,1
recommendation_105428,goodreads_53988,1
recommendation_26106,goodreads_7422,1
recommendation_81323,goodreads_28008,1
recommendation_22541,goodreads_286,1
recommendation_20059,goodreads_1231,1
recommendation_10320,goodreads_13947,1
recommendation_38027,goodreads_52595,1
recommendation_50750,goodreads_5529,1
recommendation_25397,goodreads_40906,1
recommendation_106645,goodreads_19180,1
recommendation_88103,goodreads_6858,1
recommendation_21243,goodreads_198,1
recommendation_59354,goodreads_20401,1
recommendation_28024,goodreads_13583,1
recommendation_13854,goodreads_2248,1
recommendation_95544,goodreads_43051,1
recommendation_43784,goodreads_3982,1
recommendation_6583,goodreads_295,1
recommendation_58778,goodreads_47551,1
recommendation_237541,goodreads_1123,1
recommendation_19961,goodreads_11981,1
recommendation_132542,goodreads_34897,1
recommendation_29661,goodreads_47956,1
recommendation_45231,goodreads_47235,1
recommendation_69156,goodreads_43353,1
recommendation_82549,goodreads_19070,1
recommendation_118,goodreads_12840,1
recommendation_136839,goodreads_3102,1
recommendation_114522,goodreads_44555,1
recommendation_124,goodreads_21531,1
recommendation_94011,goodreads_50663,1
recommendation_238985,goodreads_445,1
recommendation_224657,goodreads_51736,1
recommendation_6057,goodreads_2681,1
recommendation_182395,goodreads_22014,1
recommendation_41644,goodreads_1031,1
recommendation_13534,goodreads_970,1
recommendation_23372,goodreads_13561,1
recommendation_10571,goodreads_8083,1
recommendation_228775,goodreads_11964,1
recommendation_78366,goodreads_45033,1
recommendation_6049,goodreads_12358,1
recommendation_12733,goodreads_21889,1
recommendation_112767,goodreads_22068,1
recommendation_146558,goodreads_50469,1
recommendation_52928,goodreads_41053,1
recommendation_73147,goodreads_26431,1
recommendation_213277,goodreads_7381,1
recommendation_64709,goodreads_49784,1
recommendation_70907,goodreads_13690,1
recommendation_236728,goodreads_1939,1
recommendation_199735,goodreads_28065,1
recommendation_57,goodreads_2384,1
recommendation_134755,goodreads_20313,1
recommendation_79728,goodreads_8094,1
recommendation_92748,goodreads_29106,1
recommendation_60831,goodreads_44004,1
recommendation_188214,goodreads_6019,1
recommendation_78301,goodreads_509,1
recommendation_19825,goodreads_18414,1
recommendation_50908,goodreads_4319,1
recommendation_71567,goodreads_18184,1
recommendation_22652,goodreads_1926,1
recommendation_146316,goodreads_11236,1
recommendation_245767,goodreads_49447,1
recommendation_109474,goodreads_14391,1
recommendation_151653,goodreads_38710,1
recommendation_254437,goodreads_12566,1
recommendation_162299,goodreads_15872,1
recommendation_15398,goodreads_43968,1
recommendation_42008,goodreads_47820,1
recommendation_9976,goodreads_1020,1
recommendation_14260,goodreads_45802,1
recommendation_42343,goodreads_41903,1
recommendation_20716,goodreads_50293,1
recommendation_47545,goodreads_39130,1
recommendation_101072,goodreads_6635,1
recommendation_52593,goodreads_246,1
recommendation_25597,goodreads_15314,1
recommendation_84493,goodreads_27991,1
recommendation_55967,goodreads_1375,1
recommendation_110729,goodreads_21583,1
recommendation_11184,goodreads_37934,1
recommendation_53097,goodreads_39307,1
recommendation_165425,goodreads_11221,1
recommendation_95783,goodreads_460,1
recommendation_52542,goodreads_42827,1
recommendation_109706,goodreads_25991,1
recommendation_126711,goodreads_22358,1
recommendation_93896,goodreads_24626,1
recommendation_209435,goodreads_4041,1
recommendation_1130,goodreads_1440,1
recommendation_22970,goodreads_42680,1
recommendation_93697,goodreads_49570,1
recommendation_1103,goodreads_555,1
recommendation_65331,goodreads_48111,1
recommendation_33684,goodreads_51588,1
recommendation_1123,goodreads_29840,1
recommendation_58481,goodreads_6979,1
recommendation_268932,goodreads_19345,1
recommendation_24940,goodreads_34999,1
recommendation_4156,goodreads_885,1
recommendation_11118,goodreads_9340,1
recommendation_58328,goodreads_38237,1
recommendation_211458,goodreads_19711,1
recommendation_124790,goodreads_26071,1
recommendation_24466,goodreads_28648,1
recommendation_125059,goodreads_33074,1
recommendation_566,goodreads_3868,1
recommendation_30490,goodreads_47739,1
recommendation_72786,goodreads_46438,1
recommendation_78852,goodreads_53635,1
recommendation_139150,goodreads_1295,1
recommendation_148605,goodreads_41591,1
recommendation_3005,goodreads_28035,1
recommendation_19471,goodreads_44721,1
recommendation_14131,goodreads_480,1
recommendation_102427,goodreads_51156,1
recommendation_53173,goodreads_5868,1
recommendation_6097,goodreads_47122,1
recommendation_104002,goodreads_11756,1
recommendation_1535,goodreads_264,1
recommendation_268174,goodreads_2547,1
recommendation_74799,goodreads_14014,1
recommendation_84832,goodreads_6679,1
recommendation_14260,goodreads_33499,1
recommendation_3544,goodreads_21700,1
recommendation_204623,goodreads_21,1
recommendation_193759,goodreads_21750,1
recommendation_11868,goodreads_14673,1
recommendation_238053,goodreads_31351,1
recommendation_131575,goodreads_26867,1
recommendation_72357,goodreads_48083,1
recommendation_19457,goodreads_13775,1
recommendation_91,goodreads_19524,1
recommendation_90830,goodreads_53590,1
recommendation_148670,goodreads_22060,1
recommendation_213136,goodreads_45744,1
recommendation_213921,goodreads_3230,1
recommendation_29794,goodreads_11651,1
recommendation_84832,goodreads_39207,1
recommendation_29445,goodreads_39224,1
recommendation_108113,goodreads_48727,1
recommendation_17135,goodreads_45338,1
recommendation_1077,goodreads_34844,1
recommendation_94951,goodreads_10812,1
recommendation_118572,goodreads_173,1
recommendation_97837,goodreads_19359,1
recommendation_65331,goodreads_43919,1
recommendation_10272,goodreads_3310,1
recommendation_184074,goodreads_28972,1
recommendation_21224,goodreads_5674,1
recommendation_81521,goodreads_6082,1
recommendation_5929,goodreads_30046,1
recommendation_7061,goodreads_791,1
recommendation_256878,goodreads_29713,1
recommendation_48980,goodreads_8917,1
recommendation_219390,goodreads_11374,1
recommendation_118611,goodreads_24743,1
recommendation_86146,goodreads_22363,1
recommendation_120291,goodreads_29713,1
recommendation_142721,goodreads_43987,1
recommendation_97278,goodreads_9614,1
recommendation_87767,goodreads_1100,1
recommendation_4749,goodreads_25386,1
recommendation_119086,goodreads_1008,1
recommendation_195305,goodreads_10812,1
recommendation_240892,goodreads_43709,1
recommendation_215453,goodreads_6753,1
recommendation_9457,goodreads_2671,1
recommendation_17210,goodreads_1817,1
recommendation_41337,goodreads_8150,1
recommendation_248771,goodreads_10063,1
recommendation_9912,goodreads_25849,1
recommendation_61514,goodreads_8892,1
recommendation_22457,goodreads_49763,1
recommendation_15606,goodreads_51665,1
recommendation_119532,goodreads_19122,1
recommendation_79994,goodreads_2089,1
recommendation_263160,goodreads_52568,1
recommendation_126490,goodreads_4652,1
recommendation_72354,goodreads_346,1
recommendation_136096,goodreads_4261,1
recommendation_171246,goodreads_24513,1
recommendation_68390,goodreads_51502,1
recommendation_144092,goodreads_51992,1
recommendation_249158,goodreads_4804,1
recommendation_190380,goodreads_50674,1
recommendation_3334,goodreads_6713,1
recommendation_2244,goodreads_616,1
recommendation_73832,goodreads_957,1
recommendation_2187,goodreads_798,1
recommendation_70180,goodreads_19711,1
recommendation_181104,goodreads_8736,1
recommendation_156225,goodreads_21798,1
recommendation_232784,goodreads_43051,1
